Name,Type,Circle,Bench,Formed,Notes
Strasbourg (Strassburg),1262: Imperial City,Upp Rhen,,,1681: Annexed to France
Stühlingen (Stuhlingen),Landgraviate,Swab,,1582: Partitioned from Pappenheim,"1084: 1st mention of \comes de Stulingen\"""
1120: Rudolf of Lenzburg as 1st Landgrave of Stuhlingen (extinct 1172),,,,,
1172: To Lords of Kussenberg (extinct 1250),,,,,
1251: To Counts of Lupfen through female inheritance,,,,,
1251: Counts of Lupfen and Stuhlingen (extinct 1582),,,,,
1582: Lords of Pappenheim (extinct 1639) purchased Stuhlingen from Emperor for 80,000 guldens,,,,
1603: Pappenheims took possession of Stuhlingen after settling inheritance issues,,,,,
1605: Acquired Lordship of Hewen,,,,,
1639: Stuhlingen, Hewen and city of Engen to Fürstenberg by female inheritance,,,,
"1806: To Grand Duchy of Baden""",,,,,
Styria (Steiermark),c. 970: Margraviate1180: Duchy,Aust,PR,,"till 1180 \Carantanian March\"" and six counties as fief of the Duchy of Carinthia; 1180: Duchy; 1192: Inherited by the Babenbergs"
1254: Under control of Hungary,,,,,
1260: Under control of Ottokar II. of Bohemia,,,,,
1276: Became a Habsburg possession,,,,,
1379-1436 and 1564-1619: Separate Habsburg line ruled in Styria,,,,,
1512: Austrian Circle,,,,,
"1582: HRE Council of Princes""",,,,,
Sulz,1139: LordshipCounty,,,1071,1252: Acquired by Lords of Geroldseck1270-1472: To Lords of GeroldseckRudolf of Sulz acquired Lordships of Rotenberg and Kriechingen and County of Klettgau1473: Acquired by Wurttemberg1510: Last Baron of Brandis sold Vaduz and Schellenberg to Counts of Sulz1519-1534: Sulz belonged to Lords of Geroldseck1534: To Wurttemberg1572: Partitioned into Klettgau and Sulz-Vaduz1613: Counts of Sulz sold Vaduz and Schellenberg to the Counts of Hohenems
Sulz-Vaduz,County,,,1572: Partitioned from Sulz,1616: Annexed to Weingarten
Sulzbach (Taunus),HRE Village,,,,
Sulzbürg,Lordship1522: Barony1673: County,,,1322: Partitioned from Wolfstein,1500: Bavarian Circle1740: Annexed to Bavaria
Sundgau-See under Upper Alsace,c900's: CountyLandgraviate,,,,900: 1st mention of County of Sundgau1135: Landgraviate of Sundgau to Habsburgs1648: Sold to France
Swabia,Duchy,,,c911: From the former Stem Duchy of Alemannia,1079-1268: To Hohenstaufens1268: Discontinued1289-1313: Reestablished for the House of Habsburg
Swabia,Landvogtei,,,,
Swabian Austria,Landgraviate,,,,"Consisted of the Danube cities of Mengen, Munderkingen, Riedlingen, Saulgau and Waldsee (acquired between 1282 and 1331), the Margraviate of Burgau (1302 - 1304), the County of Berg with Ehingen and Schelklingen (1346), the County of Hohenburg with Rottenburg (1381), the County of Nellenburg (1465) and the provincial Prefecture of Swabia (1386 - 1541), Vorarlberg (14th century), the Breisgau (1478) with Freiburg (1368; seat of government since 1651), the provincial Prefecture of Ortenau (1551 - 1556) and the County of Tettnang (1780).1512: Austrian Circle"
