Name,Type,Circle,Bench,Formed,Notes
Salm-HorstmarForest and Rhine Count of Salm in Horstmar,County,Swab,SW,1803: Renamed from Salm-Dhaun,1269: Part of Bishopric of MunsterAcquired County of Horstmar in Prussia and part of the County of Limpurg in Wurttemberg1803: Renamed from Salm-Dhaun1806: Annexed to Berg1810: Annexed by France1815: To Prussia1816: Prince of Salm-Horstmar in Prussia
Salm-Kyrburg,Wild- and Rhinegraviate,Upp Rhen,WF,1499,"Partitioned from Upper Salm1607: Partitioned into itself, Salm-Mörchingen and Salm-Tronecken1681: Annexed to Salm-Mörchingen"
"Salm-KyrburgPrince of Salm-Kyrburg, Sovereign Prince of Ahaus, Bocholt & Gemen, Forest Count of Dhaun & Kyrburg, Rhine Count of Stein",1086: County1742: Principality,Upp Rhen,PR,,Acquired Principality of Overijse and Lordships of Leuze Pecq in BelgiumAcquired Lordship of Boxen and Meer-Gestel in the Netherlands1806: Confederation of the Rhine1811: To France1813: Mediatized to Prussia1905: Line died out; style assumed by Princes of Salm-Salm1742: Partitioned from Salm-Leuze1815: To Prussia
Salm-Leuze,"Wild- and Rhinegraviate, later Principality",,PR,1696,Partitioned from Salm-Neuweiler1742: Partitioned into itself and Salm-Kyrburg1779: Annexed to Salm-Kyrburg
Salm-Mörchingen,Wild- and Rhinegraviate,Upp Rhen,,1607,Partitioned from Salm-Kyrburg1688: Annexed to Salm-Neuweiler
Salm-Neuburg,Wild- and RhinegraviateCounty Palatine from 1629,Upp Rhen,WF,1520,Partitioned from Salm-Badenweiler1653: Territories to Sinzendorf1784: Extinct
Salm-Neuweiler,Wild- and Rhinegraviate,Upp Rhen,,1608,Partitioned from Salm-Salm1696: Partitioned into Salm-Hoogstraten and Salm-Leuze
Salm-Puttlingen,Wild- and Rhinegraviate,Upp Rhen,,1697,Partitioned from Salm-Dhaun1748: Renamed to Salm-Dhaun
Salm-Reifferscheid,Altgraviate1455: County,Upp Rhen,,1416,Created out of union of Lower Salm and Reifferscheid1639: Separated from Lower Salm1693: Partitioned into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Dyck1801-1813: Annexed by France1815: To Prussia
Salm-Reifferscheid-Bedbur,CountyPrincipality from 1803,Upp Rhen,WF,1639,"Partitioned from Salm-Reifferscheid1734: Partitioned into itself, Salm-Reifferscheid-Hainsbach and Salm-Reifferscheid-Raitz1804: Renamed to Salm-Reifferscheid-Krautheim"
"Salm-Reifferscheid-DyckHRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt",County,Low Rhen,WF,,1806: Confederation of the Rhine1811: To France1813: Mediatized to Prussia1816: Prince of Salm-Reifferscheid-Dyck in Prussia1888: Line died out; style assumed by Princes of Salm-Reifferscheid-Krautheim
Salm-Reifferscheid-Hainsbach,County,,,1734,Partitioned from Salm-Reifferscheid-Bedbur
Salm-Reifferscheid-Krautheim,Principality,Swab,SW,1804,Renamed from Salm-Reifferscheid-Bedbur
Salm-Reifferscheid-Raitz,County1790: Principality,n/a,n/a,1734,Partitioned from Salm-Reifferscheid-Bedbur
Salm-Rheingrafenstein and Grehweiler,Wild- and Rhinegraviate,Upp Rhen,WF,1688,Partitioned from Salm-Grumbach
Salm-Salm,1574: CountyWild- and Rhinegraviate1623: Principality,"Low Rhen, Upp Rhen","WF, PR",1574,Partitioned from Salm-Dhaun1608: Partitioned into itself and Salm-Neuweiler1738: Annexed to Salm-Hoogstraten
"Salm-SalmHRE Prince of Salm, Duke of Hoogstraeten, Forest Count of Dhaun and Kyrburg, Rhine Count of Stein, Lord of Diemeringen, Anholt",Wild- and Rhinegraviate1623: Principality,"Low Rhen, Upp Rhen","WF, PR",1739,Renamed from Salm-Hoogstraten
Salm-Tronecken,Wild- and Rhinegraviate,Upp Rhen,,1607,Partitioned from Salm-Kyrburg1637: Annexed to Salm-Mörchingen
Salmannsweiler,Abbacy,Swab,,,1793: Council of Princes
Salzburg,c543: Bishopric798: Archbishopric1278: Prince-Archbishopric1803: Duchy of Salzburg1803: HRE Elector of Salzburg,Bav,EC,c543,1500: Bavarian Circle1793: Council of Princes1803: Secularized as a duchy for the former Grand Duke of Tuscany1805: To Austria
Sargans,HRE County,,,11th century?,1458–1798: Condominium of the Old Swiss Confederacy1798: Annexed to Helvetic Republic's canton of Linth1803: Joined canton of St. Gallen
Sarrebourg,Imperial City,Upp Rhen,,,1641: Annexed to France
Sassenburg,,,,,To Counts of Mark
Saussenberg,Landgraviate,,,,
"Savoy(County of Savoy,Duchy of Savoy)",1031/32: County1313: HRE Prince1416: Duchy,Upp Rhen,PR,1032,1401: Purchased County of Geneva1419: Acquired Piedmont1582: HRE Council of Princes1792: Annexed to France1860: Ceded to France
Sax,Barony,,,,
Duchy of Saxony,"850: Margraviate888: Duchy, and an Electorate1180: After imperial overthrowing of Henry the Lion territorially severely belittled successor duchy to the Ascanians",n/a,,8th century,"c850: Ludolf appointed Margrave of Saxony by Emperor Louis the German961-1106: To House of Billung1106: To Henry the Proud1180: Henry the Lion (House of Welf) deprived of his Duchy of Saxony1180: Separation of the counties of Blankenburg, Cloppenburg, Hohenstein, Lippe, Oldenburg, Ravensberg, Tecklenburg, Duchy of Westphalia, the prince-bishoprics of Bremen, Halberstadt, Hildesheim, Lübeck, Magdeburg, Minden, Münster, Osnabrück, Paderborn, Ratzeburg, Schwerin, and Verden1260: Partitioned into Saxe-Lauenburg and Saxe-Wittenberg, both claiming the electoral dignity"
