Name,Type,Circle,Bench,Formed,Notes
"Sayn-Wittgenstein-BerleburgPrince of Sayn-Wittgenstein-Berleburg, Lord of Vallendar and Neumagen",1361: County1792: Principality,,,,1605: Division into Sayn-Wittgenstein-Berleburg and Sayn-Wittgenstein-Hohenstein1806: Annexed to Hesse-Darmstadt1806: Annexed to Prussia
Sayn-Wittgenstein-Hachenburg,1648: County,,,,1623: Occupied by Archbishopric of Cologne1715: To Burgraves of Kirchberg1799: To Counts of Nassau-Weilburg1803: To Sayn-Wittenstein-BerleburgTo Grand Duchy of Luxemburg
Sayn-Wittgenstein-HohensteinPrince of Sayn-Wittgenstein-Hohenstein,1605: County1801: Principality,,,,1806: Annexed to Hesse-Darmstadt1816: Annexed to Prussia
Sayn-Wittgenstein-Sayn,,,,,1846: Line extinct
Schaffhausen,HRE Abbey,,,1080,1049: Consecrated1080: Gained territory from Lgrv Nellenburg1122–1389: Gained Hiltensweiler lands1529: Disestablished in Protestant Reformation
Schaffhausen,1190: Imperial Free City,n/a,,1190,1045: 1st mention of Schaffhausen with right to mint1049: To Abbey of Allerheiligen1330: Emperor pledges town to Habsburgs1415: Schaffhausen buys its independence from Habsburg1454: Alliance with the Swiss Confederacy1501: Joined the Swiss Confederation1648: Left the Empire
Schaesberg,,,,,
SchaumburgSchauenburg,1110: County1619: HRE County,Low Rhen,WE,1110,"Division into Schaumburg and Schaumburg-LippePartitioned in 1640, with most of its territory being annexed to Hesse-Kassel (or Hesse-Cassel); the remainder continued as Schaumburg-Lippe1646: Schaumburg divided into--Holstein-Pinneberg was transferred to Holstein-Glückstadt; Lordship of Bergen in Holland was sold; Lordship of Gemen in Westphalia passed to Count of Limburg; and County of Sternberg fell to Lippe."
"Schaumburg-LippePrince of Schaumburg-Lippe, Noble Lord of Lippe, Count of Schwalenberg and Sternberg, etc.",1647: HRE County1807: Prince of Schaumburg-Lippe1918: Free State of Schaumburg-Lippe,Low Rhen,WE,1647: Previously part of Schaumburg,"Area: 340 km²; Pop. (1800): c20,0001946: Merged in Lower Saxony"
Schaumburg and Holstein-Rendsburg,County,,,1290,1474: Merged into Duchy of Holstein
Schaunberg,HRE LordshipHRE County,,,,1559: Line died out
Scheer,Lordship1785: Princely County of Friedberg and Scheer,,,,To Thurn und Taxis
Schellenberg,Lordship,,,,1510: Last Baron of Brandis sold Vaduz and Schellenberg to the Counts of Sulz1699:Sold to Liechtenstein
Schiers,High Jurisdiction,,,,
Schillingen,Lordship,,,,
SchlettstadtSélestat,Imperial Free City,Upp Rhen,,,1648: Annexed to France
Schliengen,Lordship,,,,
Schlitz genannt von Görtz,1116: Lordship1677: HRE Barony1726: HRE County,Franc,WT,1804: Seat in the Counts of the Wetterau,1116: To Abbey of Fulda1408: Renamed to Schlitz genannt von Görtz1563: Acquired Lordshiop of Pfarrstellen1656: Gained independence from Fulda1806: Mediatised to Hesse-Darmstadt
Schmalkalden,Lordship,None,,,To Abbey of FuldaTo Bishopric of WurzburgTo ThuringiaTo Counts of HennebergTo joint rule of Henneberg and Hesse1583: To Landgrave of Hesse
Schönborn (Schonborn),,,,,Acquired Reichelsberg
Schönburg (Schonburg),1700: HRE County1790: HRE Principality,Upp Sax,,,1100s; 1st mention of Schonburg1569: Division into Lower Schonburg and Upper Schonburg1700: Head od Upper Schonburg became Imperial Count1740: Under partial overlordship of the Electorate of Saxony<1790: Upper Schonburg divided into Schonburg-Hartenstein and Schonburg-Waldenburg
Schönburg-Hartenstein,Principality,Upp Sax,,1800: Partitioned from Upper Schönburg,
Schönburg-Hinterglauchau,County,Upp Sax,,Partitioned from Lower Schönburg,
Schönburg-Rochsburg,County,Upp Sax,,Partitioned from Lower Schönburg,
"Schönburg-WaldenburgPrince, Count and Lord of Schönburg, Count and Lord of Glauchau and Waldenburg, etc.",Principality,Upp Sax,,1800: Partitioned from Upper Schönburg,
Schönburg-Wechselburg,County,Upp Sax,,Partitioned from Lower Schönburg,
