Name,Type,Circle,Bench,Formed,Notes,Extra_Data_1,Noise_Field_2,Unused_3
Saarbrücken,County,,,c1120,999: 1st mention of castellum SarabruccaTo Bishops of MetzTo Counts of the Lower SaargauTo Counts of the Ardennes1353: Saarbrücken passed to the Walram line of the Counts of Nassau1381-1793: To Counts of Nassau-Saarbrücken1801-1815: To France1815: To Prussia,332,XETuPTK,
Saarwerden and Lahr,County,,,,,996,cwxzmH,
Sagan,Duchy,,,,,107,PJkmEnhk,
St Blaise in the Black Forest,Abbacy,,,,,860,YLpbqdw,
St Emmeram in Regensburg,RA,,,,830-975: United to Augsburg1500: Bavarian Circle1793: Council of Princes,638,XhrqVYs,
St. Gall,RA,,,1207,1799: Annexed to Helvetic Republic,717,ythDHjjh,
St Gall,1401: Imperial city,,,,1454: Associate of the Swiss Confederacy1648: Left the Empire1798: new Canton of Säntis in the Helvetic Republic1803: Canton of St. Gallen,606,pcATcB,
St. George in Isny,Abbacy,Swab,,,1793: Council of Princes,570,tYmxeoe,
St. Hubert,Abbacy,,,,,618,akOCghDS,
St. John's Abbey in the Thurtal,HRE Abbey,,,,,62,copJwOG,
St. Kornelimünster,Abbacy,Low Rhen,,,1793: Council of Princes,981,SjsvWmg,
St. Maximin (Trier),HRE Abbey,,,,,938,zNxHY,
St. Peter,Jurisdiction,,,,,144,TmKhu,
Abbey of Saint Peter in the Black Forest,Abbacy,,,,,806,WoiZU,
St. Ulrich and St. Afra in Augsburg,Abbacy,,,,1793: Council of Princes,288,dWiJEiC,
Salem,RA,,,,,736,hVRIS,
Salm,1019: County1623: HRE Principality,n/a,n/a,1019,"Partitioned from Saarbrücken1170: Partitioned into Lower Salm (line of Lords of Reifferscheid) and Upper Salm (line of \Wild- und Rheingrafen\"" or \""Forest and Rhine Counts\"")",471,LDvNeTZ,
1639: Salm-Reifferscheid-Dyck separated from Lower Salm,,,,,,739,BXCUsjoO,
1651: Upper Salm divided into Salm and Salm-Grumbach,,,,,,256,SsjLk,
1654: HRE Council of Princes,,,,,,342,MqoXSd,
1676: Salm divided into Salm-Salm and Salm-Kyrburg,,,,,,338,fdhGe,
"1734: Lower Salm divided into Salm-Reifferscheid-Bedbur and Salm-Reifferscheid-Raitz""",,,,,,147,jDoOtv,
Salm-Badenweiler,County,Upp Rhen,,1431,Partitioned from Upper Salm1520: Partitioned into itself and Salm-Neuburg1600: Annexed to Lorraine1608: Recreated1670: Annexed to France,599,wyyKSHO,
Salm-Blankenburg,County,n/a,n/a,1246,Partitioned from Upper Salm1506: Annexed to Lorraine,765,wzoHvh,
Salm-DhaunSalm-DaunForest and Rhine Count of Salm in Dhaun,1263: CountyWild- and Rhinegraviate,Upp Rhen,WF,1499,"1263: Separated from Upper Salm1499-1574: Part of Salm1574: Partitioned into itself, Salm-Grumbach and Salm-Salm1697: Partitioned into itself and Salm-Puttlingen1750: Part of Salm-Grumbach1750: Annexed to Salm-Puttlingen1815: To Prussia",776,OZOyGIl,
Salm-Grumbach,Wild- and Rhinegraviate,Upp Rhen,WF,1574,Partitioned from Salm-Dhaun1668: Partitioned into itself and Salm-Rheingrafenstein and Grehweiler1801: Annexed by France1803: Renamed Salm-Horstmar with new territories,818,MOQpdGZx,
Salm-Hoogstraten,Altgraviate,Upp Rhen,PR,1696,Partitioned from Salm-Neuweiler1739: Renamed to Salm-Salm,149,NyVsjC,
