Name,Type,Circle,Bench,Formed,Notes
Schönstein (Schonstein),Lordship,,,,
Schöntal (Schonthal),HRE Abbacy,,,,
Schussenried,HRE Abbacy,Swab,,,1793: Council of Princes
Schwabegg,HRE Lordship,,,,To Mindelheim
Schwäbisch Gmünd,Imperial City,Swab,SW,c1250,1803: Mediatized to Württemberg
Schwäbisch Hall,1280: Imperial Free City,Swab,SW,1280,1156: 1st mention of Schwabisch Hall in a treatyTo Counts of Comburg-Rothenburgc1116: Passed to Hohenstaufen1204: Schwabisch Hall called a town1802: Lost its territory and political independence1803: Mediatized to Württemberg
Schwäbisch Wörth,Imperial Free City,,,,1607/08: To Bavaria1705-1714: Imperial Free City
Schwalenberg,County,,,10th century,1137: Partitioned into Pyrmont and Waldeck
Schwalenberg-Sternberg,County,,,1613: Partitioned from Lippe-Detmold,1620: Re-annexed to Lippe-Detmold
"SchwarzburgHRE Prince of Schwarzburg, Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg, Lohra & Klettenberg",County<nr>1695: HRE Principality,,,1195: Partitioned from Käfernburg,"1160: Division into Schwarzburg and KafernburgBy 1184: Owned Schwarzburg, Blankenburg and Konigsee1248: Acquired Sondershausen1302: Annexed to Schwarzburg-Käfernburg1306 and 1332: Purchased Lordship of Arnstadt1340: Acquired Rudolstadt and Frankenhausen1599: Division into Schwarzburg-Sondershausen and Schwarzburg-Rudolstadt1754: HRE Council of Princes"
Schwarzburg-Arenstadt,Principality,,,1721: Partitioned from Schwarzburg-Sondershausen,1651-1669 and 1681-1716: Separate lines of Schwarzburg-Arnstadt existed1762: Re-annexed to Schwarzburg-Sondershausen
Schwarzburg-Arnstadt,County,,,1326: Partitioned from Schwarzburg-Blankenburg1642: Partitioned from Schwarzburg-Sonderhsausen,Partitioned several times1583 and 1669: Annexed to Schwarzburg-Sondershausen
Schwarzburg-Blankenburg,County,,,1231: Partitioned from Schwarzburg-Rudolstadt,Extinct in 1357
Schwarzburg-Ebeleben,County1681: Principality,,,1642: Partitioned from Schwarzburg-Sondershausen,1681-1721: Re-annexed to Schwarzburg-Sondershausen
Schwarzburg-Frankenhausen,County,,,1552: Partitioned from Schwarzburg-Arnstadt,1597: Annexed to Schwarzburg-Rudolstadt
Schwarzburg-Käfernburg,County,,,1195: Partitioned from Käfernburg,1385: Extinct
Schwarzburg-Keula,Principality,,,1721: Partitioned from Schwarzburg-Sondershausen,1740: Re-annexed to Schwarzburg-Sondershausen
Schwarzburg-Leutenberg,County,,,1324: Partitioned from Schwarzburg-Schwarzburg,1564: Annexed to Schwarzburg-Arnstadt
Schwarzburg-Neustadt,Principality,,,1721: Partitioned from Schwarzburg-Sondershausen,1749: Re-annexed to Schwarzburg-Sondershausen
Schwarzburg-Rabenwald,County,,,1231: Partitioned from Schwarzburg-Rudolstadt,1312: Annexed to Schwarzburg-Käfernburg
"Schwarzburg-RudolstadtPrince of Schwarzburg (-Rudolstadt), Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg, Blankenburg, etc",County1697: Principality,Upp Sax,PR,1552: Partitioned from Schwarzburg-Arnstadt,
Schwarzburg-Schwarzburg,County,,,1274: Partitioned from Schwarzburg-Blankenburg,1316: Divided into Schwarzburg-Leutenberg and Schwarzburg-Wachsenburg
"Schwarzburg-SondershausenHRE Prince of Schwarzburg-Sonderhausen, Count of Hohenstein, Lord of Arnstadt, Sondershausen, Leutenberg",County1697: Principality,Upp Sax,PR,1552: Partitioned from Schwarzburg-Arnstadt,Partitioned several times though it continued
Schwarzburg-Wachsenburg,County,,,1324: Partitioned from Schwarzburg-Schwarzburg,1368: Annexed to Meissen
Schwarzen,Lordship,,,,
Schwarzenbach,Lordship,,,,
