Name,Type,Circle,Bench,Formed,Notes
Electorate of Saxony,1423-1547: Duchy and Electorate1547-1806: Electorate1806-1918: Kingdom of Saxony,Upp Sax,EL,1423,"Created from merger of Margraviate of Meissen and Saxe-Wittenberg1485: Partitioned into Ernestine (Electorate, including Thuringia) and Albertine (Duchy of Saxe-Meissen) branches1547: imperial overthrowing of Ernestine Elector John Frederick I, replacing him by the Albertine Maurice of Saxe-Meissen, thus Albertine Saxe-Meissen merged in Saxony, while the Ernestine line seceded with Thuringia and then partioned into Saxe-Gotha (1553-1572) and Saxe-Weimar in 15531582: HRE Council of Princes"
Saxe-Altenburg,1602-1672: Duchy1826-1918: Duchy,Upp Sax,PR,1602,Partitioned from Saxe-Weimar1672-1825: In personal union with Saxe-Gotha
"Saxe-CoburgDuke of Saxe-Coburg and Gotha, of Julich, Cleve and Berg, of Engern and Westphalia, Landgrave in Thuringen, Margrave of Meissen, Princely Count of Henneberg, Count of the Mark and Ravensberg, Lord of Ravenstein and Tonna, etc.",1596-1633: Duchy1681-1699: Duchy,Upp Sax,PR,1572,Partitioned from Saxe-Gotha (1553-1572)1633: Annexed to Saxe-Eisenach1680: Partitioned from Saxe-Gotha1699: United to form Saxe-Coburg-Saalfeld
Saxe-Coburg-Saalfeld,Upp Sax,PR,1699,Created from union of Saxe-Coburg and Saxe-Saalfeld,
Saxe-Eisenach,1596-1638: Duchy1640-1644: Duchy1672-1806: Duchy,Upp Sax,PR,1572,Partitioned from Saxe-Gotha (1553-1572)1638: Partitioned into Saxe-Weimar and Saxe-Altenburg1640: Partitioned from Saxe-Weimar1644: Partitioned into Saxe-Weimar and Saxe-Gotha1662: Partitioned from Saxe-Weimar1741: United to form Saxe-Weimar-Eisenach
Saxe-Eisenberg,Duchy,Upp Sax,PR,1680,Partitioned from Saxe-Gotha (1640-1680)1707: Annexed to Saxe-Gotha-Altenburg
Saxe-Gotha (1553-1572),Duchy,Upp Sax,PR,1553,Partitioned from Saxe-Thuringia1572: Partitioned into Saxe-Coburg and Saxe-Eisenach
Saxe-Gotha (1640-1680),1640-1680: Duchy,Upp Sax,PR,1640,"Partitioned from Saxe-Weimar1680: Partitioned into Saxe-Coburg, Saxe-Eisenburg, Saxe-Gotha-Altenburg, Saxe-Hildburghausen, Saxe-Meiningen, Saxe-Römhild and Saxe-Saalfeld"
Saxe-Gotha-Altenburg,Duchy,Upp Sax,PR,1680,Partitioned from Saxe-Gotha (1640-1680)
Saxe-Hildburghausen,1680: Duchy,Upp Sax,PR,1680,Partitioned from Saxe-Gotha (1640-1680)
Saxe-Jena,Duchy,Upp Sax,PR,1662,1600: Division between Saxe-Weimar and Saxe-Eisenach1662: Partitioned from Saxe-Weimar
Saxe-Lauenburg,"Duchy, and an Electorate rivalling Saxe-Wittenberg1356: finally deprived of the electoral dignity",Low Sax,n/a,1260,Partitioned from the Duchy of Saxony1305-1401: Partitioned into Saxe-Mölln-Bergedorf and Saxe-Ratzeburg1689: in personal union (p.u.) to Brunswick and Lunenburg-Celle through inheritance1714: in p.u. to the Electorate of Hanover through inheritance1803: in p.u. to Brandenburg-Prussia1815: in p.u. to Duchy of Holstein and King of Denmark1864: in p.u. to Kingdom of Prussia1876: incorporated in real union into Prussia
Saxe-Meiningen,1681-1918: Duchy,Upp Sax,PR,1680,Partitioned from Saxe-Gotha (1640-1680)
Saxe-Meissen,Duchy,Upp Sax,PR,1485,Partitioned from Saxe-Wittenberg1547: Merged in the Electorate of Saxony
Saxe-Merseburg,Duchy,Upp Sax,PR,1656,Partitioned from the Electorate of Saxony1738: Annexed to Electorate of Saxony
Saxe-Saalfeld,Duchy,Upp Sax,PR,1680,Partitioned from Saxe-Gotha (1640-1680)1699: United to form Saxe-Coburg-Saalfeld
"Saxe-WeimarGrand Duke of Saxony-Weimar-Eisenach, Landgrave in Thuringia, Margrave of Misnia (Meissen), Princely Count of Henneberg, Lord of Blankenhayn, Neustadt und Tautenburg",1572-1806Duchy1815: Grand Duchy,Upp Sax,PR,1553,"Partitioned from Saxe-Thuringia1582: HRE Council of Princes1602: Partitioned into itself and Saxe-Altenburg1640: Partitioned into itself, Saxe-Eisenach and Saxe-Gotha1672: Division into itself, Saxe-Eisenach, Saxe-Marksuhl, and Saxe-Jena1741: Personal union of Saxe-Weimar and Saxe-Eisenach1809: Merger to form Saxe-Weimar-Eisenach"
"Saxe-Weimar-EisenachDuke of Saxony, Landgrave in Thuringia, Margrave of Meissen, Princely Count of Henneberg, Lord of Blankenhayn, Neustadt, Tautenburg, etc.",Duchy,Upp Sax,PR,1741,Created from union of Saxe-Eisenach and Saxe-Weimar
Saxe-Weissenfels,Duchy,Upp Sax,PR,1656,Partitioned from Electorate of Saxony1746: Annexed to Electorate of Saxony
Saxe-Wittenberg,"Duchy, and an Electorate rivalling Saxe-Lauenburg1356: undisputed HRE Prince-Elector",Upp Sax,EL,1260,Created on partition of the Duchy of Saxony1423: United with Margraviate of Meissen to form Electorate of Saxony
Saxe-Zeitz,Duchy,Upp Sax,,,
Saxe-Zeitz-Naumburg,Duchy,Upp Sax,,1657,Created on partition of the Duchy of Saxe-Zeitz
