Name,Type,Circle,Bench,Formed,Notes
Sonnenberg,1463: HRE County,,,,1474: Purchased by Austria
Speyer,Bishopric,Upp Rhen,EC,888,1793: Council of Princes1803: Annexed to Baden
Speyer,Imperial City,Upp Rhen,RH,1294,1792: Annexed to France1816: Annexed to Bavaria
Spoleto,Duchy in Italy,,,6th century,1201: To Papal States
Sponheim,HRE County,,,9th/10th Century,"1227: Partitioned into Sponheim-Eberstein, Sponheim-Heinsberg, Sponheim-Kreuznach and Sponheim-Starkenburg"
Sponheim-Bolanden,County,,,1314,Partitioned from Sponheim-Kreuznach1393: Annexed to Nassau-Dillenburg
Sponheim-Kastellaun,County,,,1291,Partitioned from Sponheim-Kreuznach1340: Re-annexed to Sponheim-Kreuznach
Sponheim-Eberstein,County,,,1227,Partitioned from Sponheim1263: Divided between Sponheim-Kreuznach and Sponheim-Starkenburg
Sponheim-Heinsberg,County,,,1227,Partitioned from Sponheim1258: Annexed to Sponheim-Eberstein
Sponheim-Kreuznach,County,,,1227,Partitioned from SponheimPartitioned several times1416: Divided between Baden and the Electorate of the Palatinate1707: All to Palatinate
Sponheim-Sayn,County,,,1261,Partitioned from Sponheim-Eberstein1283: Partitioned into Sayn and Sayn-Homburg
Sponheim-Starkenburg,County,,,1227,Partitioned from Sponheim1444: Divided between Baden and the Electorate of the Palatinate1776: All to Palatinate
StadionHRE Count of Stadion-Stadion & Thannhausen,1200s: Local Lordship1686: HRE Barony1705: HRE County,,,12th/13th Century,1100s: Family 1st mentioned1392: Division of Stadion family into the Swabian and Alsatian linesAcquired ThannhausenAcquired Lordship of Waldhausen1700: Stadion lines reunited1708: Division into Stadion-Warthausen (extinct 1890) and Stadion-Thannhausen (extinct 1908)1741: Partitioned into Stadion-Thannhausen and Stadion-WarthausenInherited by Counts of Schonborn-Buchheim
Stadion-ThannhausenCount of Stadion-Stadion-Thannhausen,1705: HRE County,,,1741,Partitioned from Stadion1806: Mediatised to Bavaria
Stadion-WarthausenStadion-WaldhausenCounts of Stadion-Waldhausen and Thannhausen,1705: HRE County,,,1741,Partitioned from Stadion1806: Mediatised to Austria and Wurttemberg
Stargard,Duchy,,,,1130: To Dukes of Pomerania1236: To Margraves of Brandenburg1292: To Princes of Mecklenburg1352-1471: To Mecklenburg-Stargard1348: HRE Estate
Starhemberg,1679: HRE Count (Personalist)1765: HRE Prince (Personalist),n/a,FR,1679,1100s: Family 1st mentioned
"Starhemberg-Schaumburg-WachsenbergPrince of Starhemberg, Count of Schaumburg-Wachsenberg, etc.",1705: HRE Prince,,,,Acquired County of Schaumburg-Wachsenberg
Starkenburg,HRE Lordship,,,,1237: To Sponheim
Starkenstein,Lordship,,,,
Stauf Ehrenfels,HRE LordshipHRE Couty,,,,
Staufenberg,Lordship,,,,
Staufeneck,Lordship,,,1432: Partitioned from Staufeneck-Babenhausen,1599: Annexed to Donzdorf
Staufeneck-Babenhausen,Lordship,,,1351: Partitioned from Aichen,1432: Partitioned into Babenhausen-Mindelheim-Cellmünz and Staufeneck
Stauffen,Lordship,Swab,,,
Stavelot (Stablo),RA,Low Rhen,,,"650: The double monastery, Stablo-Malmedy, was built1793: Council of Princes"
