Name,Type,Circle,Bench,Formed,Notes
"SchwarzenbergHRE Prince of Schwarzenberg, Princely Landgrave of Klettgau, Count of Sulz, Duke of Krummau, Lord of Gimborn)",Lordship1429: Barony1566: County1599: Imperial County1670: Imperial Prince1671: Princely Landgraviate,Franc,,1347,1500: Franconian Circle1624: Extinct1674: HRE Council of Princes
The Schwarzgraviate,County,,,1333: Partitioned from Hohenzollern,1412: Re-annexed to Hohenzollern
Schweidnitz,Principality,,,,
Schweinfurt,1254: Free Imperial Town,Franc,SW,1282,791: 1st mention of Schweinfurt1200s: Obtained status of a town1386: Joined Swabian League of Cities1500: Franconian Circle1803: Mediatized to Bavaria
Schweppenhausen,Lordship,,,,
Schwerin,Bishopric1180: HRE Prince-Bishopric,Low Sax,EC,1165: est. as diocese1180: Partitioned - as estate of Imperial immediacy - from the older Duchy of Saxony,1648: Secularised as a principality to Mecklenburg-Schwerin
Schwerin,Principality,Low Sax,,1648: Secularized from Bp. of Schwerin,Held by Mecklenburg-Schwerin
Schwerin,1167: County,,,1161,1167: Gunzel of Hagen enfeoffed with Schwerin by Henry the Lion of Saxony1279: Division into Schwerin-Schwerin and Schwerin-Wittenburg1323: Schwerin-Boizenburg line1328: Inherited County of Tecklenburg by female succession1343: Mecklenburg obtained hereditary rights1344: Schwerin-Schwerin line died out1349: Schwerin-Wittenburg-Boizenburg line died out1358: Line of Counts of Schwerin died out; sold to Mecklenburg
Schwyz,Imperial valley,,,1309: Split off from Habsburg,"972: \Community of Free Peasant of Schwyz\"""
1173: To Habsburgs,,,,,
1240: Schwyz declared directly dependent of the Emperor,,,,,
1315: Original member of the Swiss Confederation,,,,,
1648: Left Empire as member of Swiss Confederation,,,,,
"1798-1803: To Helvetic Republic""",,,,,
Sélestat (Schlettstadt),,,,,
Seckau,1218: Bishopric1218: HRE Prince-Bishopric,Aust,,1218,
Segenberg,Lordship1628: HRE County,,,,To Waldstein/Wallenstein house
Seinsheim,HRE Lordship,Franc,FR,Barony of the House of Schwarzenberg,1803: Gained seat in Bench of Counts of Franconia
Selz,Imperial Abbey,—,—,991: Founded;992: Reichsunmittelbar,1481: Mediatised to the Electorate of the Palatinate;1803: Secularised
Sickingen,County,Swab,,,
Siebenbürgen (Transylvania),Principality,,,,
Siegburg,RA,,,,
Sigmaringen,,,,1250,900s: Sigmaringen castle built1077: 1st mention of Sigimaringin?-1253: To Counts of Peutengau-Hirschberg1270: To Counts of Montfort1290: Sold to Austria1325: To Counts of Wurttemberg1362: To Counts of Werdenberg1534: To Counts of Hohenzollern
"SinzendorfHRE Prince of Sinzendorf & Thannhausen, Burgrave of Winterrieden, Baron of Ernstbrunn",1648: HRE Counts1803: HRE Princes,,,,1610: HRE Baron of Ernstbrunn1653: immediate Burgraves of Rheineck1803: immediate Burgraves of Winterrieden
Sinzendorf-Ernstbrunn,,,,,Acquired Rheineck
Sion (Sitten),Bishopric,,,c775,999: Bishops were also Counts of Valais1798: Annexed to Valais then Switzerland
