Name,Type,Circle,Bench,Formed,Notes
Soest,Imperial City,Low Rhen,RH,,1609: Annexed to Cleves
Söflingen,HRE Abbacy,Swab,,,1793: Council of Princes
"SolmsCount of Solms, Lord of Münzenberg, Wildenfels & Sonnenwalde",County,n/a,n/a,1129,1258: Partitioned into Solms-Braunfels and Solms-Burg-Solms
Solms-Alt-Puch,County,Upp Rhen,WT,1688,"Partitioned from Solms-Sonnenwalde1711: Partitioned into itself, Solms-Kurzwitz, Solms-Rösa and Solms-Sonnenwalde in 17111769: Annexed to Solms-Kurwitz"
Solms-Assenheim,County,Upp Rhen,WT,1632,"Partitioned from Solms-Baruth1699, 1728: Partitioned from Solms-Rödelheim-Assenheim1635, 1722, 1778: Annexed Solms-Rödelheim-Assenheim"
Solms-Baruth,County,Upp Rhen,WT,1600,"Partitioned from Solms-Laubach1622: Partitioned into itself and Solms-Assenheim1696: Partitioned into itself, Solms-Baruth upon Klitschdorf and Wehrau, Solms-Laubach, Solms-Utphe and Solms-Wildenfels"
Solms-Baruth upon Klitschdorf and Wehrau,County,n/a,n/a,1696,Partitioned from Solms-Baruth
"Solms-BraunfelsHRE Prince of Solms, Lord of Braunfels, Grafenstein, Münzenberg, Wildenfels & SonnenwaldePrince of Solms-Braunfels, Count of Greifenstein, Lichtenstein and Hungen, Tecklenburg, Crichingen, Lingen, Lord of Münzenberg, Rheda, Wildenfels, Sonnenwalde, Püttlingen, Dortweiler und Beaucourt",County1742: Principality,Upp Rhen,WT,1258: Partitioned from Solms,"1235: Partitioned into itself and Solms-Ottenstein1409: Partitioned into itself and Solms-Lich1592: Partitioned into itself, Solms-Greifenstein and Solms-Hungen"
Solms-Burg-Solms,County,n/a,n/a,1258,Partitioned from Solms1415: Annexed to Solms-Braunfels
Solms-Greifenstein,County,Upp Rhen,,1592,Partitioned from Solms-Braunfels1693: Annexed to Solms-Braunfels
Solms-Hohensolms,County,Upp Rhen,WT,1562,Partitioned from Solms-Lich1718: Annexed to Solms-Hohensolms-Lich
Solms-Hohensolms-Lich,County1792: Principality,Upp Rhen,WT,1718,Union of Solms-Hohensolms and Solms-Lich
Solms-Hungen,County,,,1592,Partitioned from Solms-Braunfels1678: Annexed to Solms-Greifenstein
Solms-Kotiz,County,,,1747,Partitioned from Solms-Kurwitz
Solms-Kurwitz,County,Upp Rhen,n/a,1711,Partitioned from Solms-Alt-Puch1747: Partitioned into itself and Solms-Kotiz
Solms-Laubach,County,Upp Rhen,WT,1544,"Partitioned from Solms-Lich1561: Partitioned into itself and Solms-Sonnenwalde1607: Partitioned into itself, Solms-Baruth and Solms-Rödelheim1627: Partitioned into itself and Solms-Sonnenwalde1676: Annexed to Solms-Baruth1696: Partitioned from Solms-Baruth"
Solms-Lich,County,Upp Rhen,WT,1409,Partitioned from Solms-Braunfels1544: Partitioned into itself and Solms-LaubachPartitioned into itself and Solms-Hohensolms1718: United to form Solms-Hohensolms-Lich
Solms-Ottenstein,County,n/a,n/a,1325,Partitioned from Solms-Braunfels1424: Annexed to Solms-Braunfels
Solms-Rödelheim,County,Upp Rhen,WT,"1607: Partitioned from Solms-Laubach1699, 1728: Partitioned from Solms-Rödelheim-Assenheim","1635, 1722, 1778: Annexed to Solms-Rödelheim-Assenheim"
Solms-Rödelheim-Assenheim,County,Upp Rhen,WT,"1635, 1722, 1778: Created from a union of Solms-Assenheim and Solms-Rödelheim","1699, 1728: Partitioned back into Solms-Assenheim and Solms-Rödelheim"
Solms-Rösa,County,Upp Rhen,n/a,1711,Partitioned from Solms-Alt-Puch
Solms-Sachsenfeld,County,Upp Rhen,n/a,1741,Partitioned from Solms-Wildenfels
Solms-Sonnenwalde,County,Upp Rhen,n/a,1561,Partitioned from Solms-Laubach1615: Annexed to Solms-Laubach1627: Partitioned from Solms-Laubach1688:Partitioned into itself and Solms-Alt-Puch1803: Annexed to Solms-Rösa
Solms-Utphe,County,Upp Rhen,n/a,1696,Partitioned from Solms-Baruth1762: Extinct
Solms-Wildenfels,County,Upp Rhen,n/a,1696,Partitioned from Solms-Baruth1741: Partitioned into itself and Solms-Sachsenfeld
Solothurn,1218: Imperial Free City,,,1218,1355: Associate member of Swiss Confedearation; annexed to Bern1481: Full member of Swiss Confederation1648: Left the Empire
