Dates,Tournament,Host country,Winner,Notes,Filler_1,Unused_2
8–11 Jul,Standard Life Loch Lomond,Scotland,Colin Montgomerie,,SkZchkNy,
15–18 Jul,The Open Championship,Scotland,Paul Lawrie,,RmWZKd,
22–25 Jul,TNT Dutch Open,Netherlands,Lee Westwood,,ZfunU,
30 Jul–2 Aug,Smurfit European Open,Republic of Ireland,Lee Westwood,,PIlpKOBp,
5–8 Aug,Volvo Scandinavian Masters,Sweden,Colin Montgomerie,,qrFpCJ,
12–15 Aug,U.S. PGA Championship,United States,Tiger Woods,,qEQMNuK,
12–15 Aug,West of Ireland Golf Classic,Republic of Ireland,Costantino Rocca,New tournament.Alternate to U.S. PGA,EsThS,
19–22 Aug,BMW International Open,Germany,Colin Montgomerie,,IjXxnj,
26–29 Aug,WGC-NEC Invitational,United States,Tiger Woods,,IJhpDaXL,
27–30 Aug,Scottish PGA Championship,Scotland,Warren Bennett,New tournament.Alternate to WGC,PAMNF,
2–5 Sept,Canon European Masters,Switzerland,Lee Westwood,,jDaqDSjl,
