Dates,Tournament,Host country,Winner,Notes
22–25 Apr,Peugeot Open de Espana,Spain,Jarmo Sandelin,
29 Apr–2 May,Fiat and Fila Italian Open,Italy,Dean Robertson,
6–9 May,Novotel Perrier Open de France,France,Retief Goosen,
13–16 May,Benson and Hedges International Open,England,Colin Montgomerie,
21–24 May,Deutsche Bank - SAP Open TPC of Europe,Germany,Tiger Woods,
28–31 May,Volvo PGA Championship,England,Colin Montgomerie,
3–6 Jun,Compass Group English Open,England,Darren Clarke,
10–13 Jun,German Open,Germany,Jarmo Sandelin,
17–20 Jun,Moroccan Open,Morocco,Miguel Ángel Martín,
17–20 Jun,U.S. Open,United States,Payne Stewart,
24–27 Jun,Compaq European Grand Prix,England,David Park,
1–4 Jul,Murphy's Irish Open,Republic of Ireland,Sergio García,
