Dates,Tournament,Host country,Winner,Notes
14–17 Jan,Alfred Dunhill South African PGA Championship,South Africa,Ernie Els,
21–24 Jan,Mercedes-Benz - Vodacom South African Open,South Africa,David Frost,
28–31 Jan,Heineken Classic,Australia,Jarrod Moseley,
4–7 Feb,Benson and Hedges Malaysian Open,Malaysia,Gerry Norquist,New tournament
11–14 Feb,Dubai Desert Classic,United Arab Emirates,David Howell,
17–20 Feb,Qatar Masters,Qatar,Paul Lawrie,
24–28 Feb,WGC-Andersen Consulting Match Play Championship,United States,Jeff Maggert,
4–7 Mar,Algarve Portuguese Open,Portugal,Van Phillips,
11–14 Mar,Turespana Masters - Open Andalucia,Spain,Miguel Ángel Jiménez,
25–28 Mar,Madeira Island Open,Portugal,Pedro Linhart,
