Dates,Tournament,Host country,Winner,Notes
9–12 Sept,Victor Chandler British Masters,England,Bob May,
16–19 Sept,Trophée Lancôme,France,Pierre Fulke,
24–27 Sept,Ryder Cup,United States,United States,Team event
30 Sept–3 Oct,Linde German Masters,Germany,Sergio García,
7–10 Oct,Alfred Dunhill Cup,Scotland,Spain,Team event.Unofficial money
14–17 Oct,Cisco World Match Play Championship,England,Colin Montgomerie,Unofficial money
14–17 Oct,Sarazen World Open,Spain,Thomas Bjørn,New tournament
21–24 Oct,Belgacom Open,Belgium,Robert Karlsson,
28–31 Oct,Volvo Masters,Spain,Miguel Ángel Jiménez,
4–7 Nov,WGC-American Express Championship,Spain,Tiger Woods,
18–21 Nov,World Cup of Golf,Malaysia,United States,Team event.Unofficial money
