Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points
11,19,Narain Karthikeyan,Jordan-Toyota,54,+2 Laps,17,
12,18,Tiago Monteiro,Jordan-Toyota,53,+3 Laps,18,
13,21,Christijan Albers,Minardi-Cosworth,52,+4 Laps,19,
Ret,2,Rubens Barrichello,Ferrari,49,Handling,12,
Ret,6,Giancarlo Fisichella,Renault,36,Collision,3,
Ret,7,Mark Webber,Williams-BMW,36,Collision,4,
Ret,11,Jacques Villeneuve,Sauber-Petronas,26,Spun Off,16,
Ret,3,Jenson Button,BAR-Honda,2,Engine,9,
Ret,4,Anthony Davidson,BAR-Honda,2,Engine,15,
Ret,20,Patrick Friesacher,Minardi-Cosworth,2,Spun Off,20,
