Pos,No,Driver,Constructor,Laps,Time/Retired,Grid,Points,Unused_1
1,5,Fernando Alonso,Renault,56,1:31:33.736,1,10,
2,16,Jarno Trulli,Toyota,56,+24.327,2,8,
3,8,Nick Heidfeld,Williams-BMW,56,+32.188,10,6,
4,10,Juan Pablo Montoya,McLaren-Mercedes,56,+41.631,11,5,
5,17,Ralf Schumacher,Toyota,56,+51.854,5,4,
6,14,David Coulthard,Red Bull-Cosworth,56,+1:12.543,8,3,
7,1,Michael Schumacher,Ferrari,56,+1:19.988,13,2,
8,15,Christian Klien,Red Bull-Cosworth,56,+1:20.835,7,1,
9,9,Kimi Räikkönen,McLaren-Mercedes,56,+1:21.580,6,,
10,12,Felipe Massa,Sauber-Petronas,55,+1 Lap,14,,
