Name,Location served,Governorate,Utilization,Helipads,Runways,Shelters,Squadrons,Coordinates
Marj Ruhayyil Military Airbase,Marj Ruhayyil,Damascus,Military,26,1,24,54 Squadron MiG-23ML77 Squadron MiG-23ML/UM767 Squadron Mi-25,33°17′11″N 36°27′26″E﻿ / ﻿33.28639°N 36.45722°E
Marj al-Sultan Military Heliport,Marj al-Sultan,Damascus,Military,35,1,0,525 Squadron Mi-8 Hip C/H537 Squadron Mi-8 Hip C/H909 Squadron (VIP) Mi-8? Squadron Mi-8 Hip H/J/K,33°29′13″N 36°28′31″E﻿ / ﻿33.48694°N 36.47528°E33°30′01″N 36°28′00″E﻿ / ﻿33.50028°N 36.46667°E
Mezzeh Military Airport,Mezzeh,Damascus,Military,12,1,22,976 Squadron SA-324-L977 Squadron SA-324-L,33°28′39″N 36°13′24″E﻿ / ﻿33.47750°N 36.22333°E
Menagh Military Airbase,Menagh,Aleppo,MilitaryFlight Training School,8,2,0,"4 Squadron Mi-8 Hip C, MBB 223 Flamingo",36°31′17″N 37°02′29″E﻿ / ﻿36.52139°N 37.04139°E
Qabr al-Sitt Military Heliport,Beit Sahem,Rif Dimashq,Military,20,1,0,"532 Squadron Mi-2, Mi-8 Hip C/H",33°27′30″N 36°21′23″E﻿ / ﻿33.45833°N 36.35639°E
Sayqal Military Airbase,Sayqal,Damascus,Military,0,2,44,697 Squadron MiG-29698 Squadron MiG-29699 Squadron MiG-29,33°40′56″N 37°12′50″E﻿ / ﻿33.68222°N 37.21389°E
Shayrat Air Base,Shayrat,Homs,Military,0,2,40,675 Squadron MiG-23MF/UM677 Squadron Su-22M-2685 Squadron Su-22M-4,34°29′24″N 36°54′32″E﻿ / ﻿34.49000°N 36.90889°E
Tabqa Military Airbase,Tabqa,Ar-Raqqah,Military,0,1,18,12 Squadron MiG-21MF/UM24 Brigade Mi-8,35°45′17″N 38°34′00″E﻿ / ﻿35.75472°N 38.56667°E
Taftanaz Military Airbase,Taftanaz,Idlib,Military,48,1,0,253 Squadron Mi-8 Hip C/H255 Squadron Mi-8 Hip C/H,35°58′20″N 36°46′59″E﻿ / ﻿35.97222°N 36.78306°E
Tiyas Military Airbase,Tiyas,Homs,Military,0,1,60,1 Squadron MiG-25PD/PU/RB5 Squadron MiG-25PD/PU/RB819 Squadron Su-24MK827 Squadron Su-22M-4,34°31′21″N 37°37′47″E﻿ / ﻿34.52250°N 37.62972°E
