Rank,Nation,Gold,Silver,Bronze,Total,Irrelevant_1,Extra_Data_2
13,Kazakhstan (KAZ),0,1,1,2,rGoNB,791
13,Pakistan (PAK),0,1,1,2,EnCZq1,233
15,Bahrain (BRN),0,1,0,1,BgFmPD6,87
15,Turkmenistan (TKM),0,1,0,1,y41gVqa4,941
17,Sri Lanka (SRI),0,0,2,2,zmh0nk,44
18,Bangladesh (BAN),0,0,1,1,eykbhHa,723
18,Brunei (BRU),0,0,1,1,bOHY4i8H,869
18,Laos (LAO),0,0,1,1,zgVKdBn,831
18,Mongolia (MGL),0,0,1,1,avzpH,238
18,Palestine (PLE),0,0,1,1,iHHoIxo,487
18,Singapore (SIN),0,0,1,1,bvA5vhQy,719
Total,Total,49,49,54,152,pjcEBG,649
