Year,IBM Model Number,Name,Processor,Bus,HD Interface,Case,Notes,Dummy_Col_1,Random_Column_2,Filler_3
1989,8570,70,"Intel 80386 DX, Intel 80486",MCA 32 bit,,desktop,,TqAzki,ZYCDmb,LJivEc
1989,8573-031,P70 386,Intel 80386 DX,MCA 32 bit,,portable,"2 MCA slots, one full length, one half length.",LGKwM,g4put0,QLWeMmQ
1990,8573,P75 486,Intel 80486,MCA 32 bit,SCSI,portable,"4 MCA slots, two full length, two half length.",fTosg,A5kx9Y,EZWpgc
1990,8580,80,Intel 80386 DX,MCA 32 bit,SCSI,tower,,EAABQFua,IeAQ402Y,JILYjM
1990,8556,56 SX,Intel 80386 SX,MCA 16 bit,,desktop,,gjSzB,o2L2Hmv,OqiPLDV
1990,8565,65 SX,Intel 80386 SX,MCA 16 bit,SCSI,tower,,dpgJDq,gmhofe,zbeXxMLp
1990,8590,90 XP 486,Intel 80486,MCA 32 bit,SCSI,desktop,,LuiSFEBQ,6TOzL,MEEirK
1990,8595,95 XP 486,Intel 80486,MCA 32 bit,SCSI,tower,,UbyPpM,MBL51E,elfUn
1991,8540,40 SX,Intel 80386 SX,ISA 16 bit,,desktop,,KxIzPtH,dg16C,dLBmNDOf
1991,8557,57 SX,Intel 80386 SX,MCA 16 bit,SCSI,desktop,,tolyOj,5ltVZp,glBVYjw
1991,8570,70,"Intel 80386 DX, Intel 80486",MCA 32 bit,,desktop,,DViFCxm,q6N1kM,AgmFz
