Year,IBM Model Number,Name,Processor,Bus,HD Interface,Case,Notes
1989,8530-E31,Model 30 286,10 MHz Intel 286,ISA 16 bit,"ESDI, 30MB",Desktop,Single HD disk drive
1991,8530-E41,Model 30 286,10 MHz Intel 286,ISA 16 bit,"ESDI, 45MB",Desktop,Single HD disk drive
1987,8530-R02,Model 30,8 MHz Intel 8086,ISA 8 bit,,"Desktop, intelligent financial workstation","Two disk drives, 4700 host support"
1987,8530-R21,Model 30,8 MHz Intel 8086,ISA 8 bit,"ST-506, 20MB","Desktop, intelligent financial workstation","Single disk drives, 4700 host support"
1988,8530-E0R,Model 30 286,10 MHz Intel 286,ISA 16 bit,,"Desktop, intelligent financial workstation","Single HD disk drive, 4700 host support"
1988,8530-E2R,Model 30 286,10 MHz Intel 286,ISA 16 bit,"ESDI, 20MB","Desktop, intelligent financial workstation","Single HD disk drive, 4700 host support"
1987,8550-021,50,Intel 80286,MCA 16 bit,,desktop,
1987,8560,60,Intel 80286,MCA 16 bit,MFM or ESDI,tower,
1987,8580,80,Intel 80386 DX,MCA 32 bit,MFM or ESDI,tower,
1988,"8550-031, 8550-061",50 Z,Intel 80286,MCA 16 bit,,desktop,
1988,8570,70,Intel 80386 DX,MCA 32 bit,,desktop,
1989,8555,55 SX,Intel 80386 SX,MCA 16 bit,ESDI,desktop,
