Year,IBM Model Number,Name,Processor,Bus,HD Interface,Case,Notes,Random_Column_1,Noise_Field_2,Irrelevant_3
1990,8525-006,Model 25 286,10 MHz Intel 286,ISA 16 bit,,Desktop with integrated Color display,Single HD disk drive,h95FPN,ZsVRsM,qMIShN
1990,8525-036,Model 25 286,10 MHz Intel 286,ISA 16 bit,"ST-506, 30MB drive",Desktop with integrated Color display,Single HD disk drive,Ocm3W,jAioVHuL,uwSmpr
1990,8525-G06,Model 25 286,10 MHz Intel 286,ISA 16 bit,,Desktop with integrated Color display,"Single HD disk drive, enhanced keyboard",ZDJxDv,eUZzkXHK,J18L5NGB
1990,8525-G36,Model 25 286,10 MHz Intel 286,ISA 16 bit,"ST-506, 30MB drive",Desktop with integrated Color display,"Single HD disk drive, enhanced keyboard",vghogd,wNrNdSR,DIfOD
1992,8525-K00,Model 25 SX,16 MHz Intel 386 SX,ISA 16 bit,,Desktop with integrated Color display,Single HD disk drive,twNmGhW,bBnDO,YQMzNq
1992,8525-K01,Model 25 SX,16 MHz Intel 386 SX,ISA 16 bit,,Desktop with integrated Color display,"Single HD disk drive, Ethernet network adapter",z2qePaN,vKVGDc,5VbBs
1992,8525-L02,Model 25 SX,16 MHz Intel 386 SX,ISA 16 bit,,Desktop with integrated Color display,"Single HD disk drive, Token-ring network adapter",U5uWgj5,jCkuX,BgUyjkBi
1989,8530-001,Model 30,8 MHz Intel 8086,ISA 8 bit,,Desktop,Single disk drive,G4GBT,JEuNndSF,i539IM9
1987,8530-002,Model 30,8 MHz Intel 8086,ISA 8 bit,,Desktop,Two disk drives,8ldgGof,gevPN,vJimuUv
1987,8530-021,Model 30,8 MHz Intel 8086,ISA 8 bit,"WDI-325Q, 20MB, ESDI",Desktop,Single disk drives,krCjM,kSHKne,9S4LX
1988,8530-E01,Model 30 286,10 MHz Intel 286,ISA 16 bit,,Desktop,Single HD disk drive,gLhhD,wZhCzvzL,rqJUA9
1988,8530-E21,Model 30 286,10 MHz Intel 286,ISA 16 bit,"ESDI, 20MB",Desktop,Single HD disk drive,lfifbhPy,eOvfX,l7li9
