Name,Service,Rank,Role and unit,Date of award,Notes,Image
Harald Gelhaus,Kriegsmarine,Kapitänleutnant,Commander of U-107,26 March 1943,—,—
Hans Gelhausen,Heer,Hauptmann,Leader of the I./Grenadier-Regiment 457,28 March 1945,—,—
Christian Gellert,Luftwaffe,Oberleutnant,Battery leader in the I./Flak-Regiment 43 (motorized),11 June 1944,—,—
Roland Gellhorn,Heer,Major,Adjutant of the 75. Infanterie-Division,14 February 1945,—,—
Dionys Geltinger,Heer,Major,Commander of the III./Artillerie-Regiment 251,2 September 1944,—,—
Alfred Gemsjäger,Luftwaffe,Leutnant,Oberserver in the 6.(F)/Aufklärungs-Gruppe 122,16 December 1944*,Killed in action 2 September 1944,—
Otto Gemünden,Luftwaffe,Wachtmeister,Gun leader in the I./Flak-Regiment 49 in Flak-Regiment 37,12 October 1942,—,—
Oskar Genrich,Luftwaffe,Oberleutnant,Pilot in the 2.(F)/Aufklärungs-Gruppe 11,3 November 1942,—,—
Ludwig Gensberger,Heer,Oberleutnant,Chief of the 13.(IG)/Grenadier-Regiment 544,5 April 1945*,Killed in action 23 February 1945,—
Alfred Genz,Luftwaffe,Oberleutnant,Chief of the 1./Fallschirmjäger-Sturm-Regiment,14 June 1941,—,—
Karl-Heinz Genzel,Heer,Hauptmann,Leader of the I./Grenadier-Regiment 32,26 November 1944,—,—
Joachim Genzow,Luftwaffe,Oberleutnant,Staffelkapitän of the 4./Kampfgeschwader 2,23 March 1941,—,—
Erich Geppert,Heer,Oberleutnant,Leader of the 3./Sturmgeschütz-Abteilung 209,14 April 1943,—,—
Arthur Gerber,Heer,Feldwebel,Platoon leader in the Stabskompanie/Grenadier-Regiment 401,18 February 1945,—,—
Hinrich Gerdes,Heer,Oberfeldwebel,Platoon leader in the 3./Panzer-Regiment 36,21 January 1945,—,—
Hans Gerdts,Heer,Obergefreiter,Wireless radio operator in the 3./Artillerie-Regiment 196,9 December 1944,—,—
Rudolf Gerhardt,Heer,Major,Commander of the II./Panzer-Regiment 7,22 September 1941,—,—
Walther Gerhold,Kriegsmarine,Marine-Schreiber-Obergefreiter,Einmanntorpedofahrer in the Kleinkampfflottille 361,6 July 1944,—,—
Walter Gericke+,Luftwaffe,Hauptmann,Commander of the IV./Fallschirmjäger-Sturm-Regiment,14 June 1941,Awarded 585th Oak Leaves 17 September 1944,
Siegfried Gerke,Heer,Leutnant of the Reserves,Platoon leader in the 3./Panzer-Pionier-Bataillon 16,2 December 1942,—,—
Franz Gerl,Heer,Oberfeldwebel,Platoon leader in the 13.(IG)/Grenadier-Regiment 110,8 May 1943,—,—
Heinrich Gerlach,Luftwaffe,Hauptmann,Pilot with the commanding general of the XI. Fliegerkorps in conjunction with the Mussolini rescue,19 September 1943,—,—
Dr. Julius Gerlach,Heer,Hauptmann of the Reserves,Commander of the III./Infanterie-Regiment 507,10 February 1942,—,—
Karl Gerlach?,Heer,Oberleutnant,Chief of the 4./Panzergrenadier-Regiment 35,3 May 1945,—,—
Ludwig Gerlach,Heer,Hauptmann,Commander of the I./Grenadier-Regiment 409,23 March 1945,—,—
Waldemar Gerlach,Heer,Oberleutnant,Chief of the 2./MG-Bataillon 13,9 May 1940,—,—
Bruno Gerloch,Heer,Oberstleutnant,Commander of Artillerie-Regiment 90,4 September 1940,—,—
Alfred Germer,Heer,Oberleutnant,Chief of the 1./Pionier-Bataillon 171,26 May 1940,—,—
Ernst Germer,Luftwaffe,Fahnenjunker-Feldwebel,Leader of the bicycle platoon in the Stabskompanie/Fallschirmjäger-Regiment 1,29 October 1944,—,
Rudolf Christoph Freiherr von Gersdorff,Heer,Oberst im Generalstab (in the General Staff),Chief of the Generalstab of the 7. Armee,26 August 1944,—,
Wilhelm Gerstenberg,Heer,Feldwebel,Platoon leader in the 4./Grenadier-Regiment 287,4 May 1944*,Killed in action 26 April 1944,—
Günter Gersteuer?,Luftwaffe,Major,Commander of Fallschirm-Sturmgeschütz-Brigade 12,28 April 1945,—,—
Siegfried Gerstner,Luftwaffe,Major,Commander of the II./Fallschirmjäger-Regiment 7,13 September 1944,—,
Walter Gerth,Waffen-SS,SS-Obersturmführer of the Reserves,"Chief of the 7./SS-Panzer-Artillerie-Regiment 3 \Totenkopf\""""",31 March 1943,—,
Werner Gerth,Luftwaffe,Oberleutnant,"Staffelkapitän of the Sturmstaffel in the IV./Jagdgeschwader 3 \Udet\""""",29 October 1944,—,—
Gerhard Gertler,Heer,Oberfeldwebel,Company troop leader in the 7./Jäger-Regiment 83,18 September 1943,—,—
Heinz Geschwill,Luftwaffe,Leutnant,"Pilot in the 9./Kampfgeschwader 3 \Lützow\""""",23 March 1941,—,—
Karl Gesele,Waffen-SS,SS-Obersturmbannführer,"Commander of SS-Sturmbrigde \Reichsführer SS\"" (sp. 16. SS-Panzergrenadier-Division)""",4 July 1944,—,—
