Name,Service,Rank,Role and unit,Date of award,Notes,Image
Erhard Grosan?,Heer,Oberst,"Commander of Kampfgruppe \Grosan\"" and tactics teacher at the Panzer-Truppenschule Bergen""",9 May 1945,—,—
Johann Groscheck,Heer,Oberfeldwebel,Leader of rider platoon in the Stabskompanie/Grenadier-Regiment 422,21 January 1945,—,—
Alfred Groß?,Luftwaffe,Leutnant,"Staffelführer of the 5./Jagdgeschwader 26 \Schlageter\""""",20 April 1945,—,—
Helmut Groß,Heer,Major,Commander of Divisions-Füsilier-Bataillon 129,31 August 1943,—,—
Martin Groß,Waffen-SS,SS-Sturmbannführer,"Commander of the II./SS-Panzer-Regiment 1 \Leibstandarte SS Adolf Hitler\""""",22 July 1943,—,
Gert Grosse,Heer,Major,Commander of the II./Grenadier-Regiment 529,3 January 1944,—,—
Hans Grossendorfer,Luftwaffe,Oberleutnant,"Observer in the 7./Kampfgeschwader 53 \Legion Condor\""""",26 March 1944*,Killed on active service 20 November 1943,—
Georg Großjohann,Heer,Major,Leader of Grenadier-Regiment 308,26 December 1944,—,—
Friedrich-Karl Großkreutz,Heer,Major,Commander of Sturmgeschütz-Abteilung 244,22 November 1943,—,—
Horst Großmann+,Heer,Oberst,Commander of Infanterie-Regiment 84,23 August 1941,Awarded 292nd Oak Leaves 4 September 1943,—
Hugo Großmann,Heer,Feldwebel,Deputy leader of the 3./Grenadier-Regiment 252,26 March 1944*,Died of wounds 29 January 1944,—
Alfred Großrock,Waffen-SS,SS-Untersturmführer,"Platoon leader in the 6./SS-Panzer-Regiment 5 \Wiking\""""",12 August 1944,—,—
Ernst-Albert Grote,Heer,Major,Leader of Grenadier-Regiment 12,11 March 1945,—,—
Horst Freiherr Grote,Luftwaffe,Oberleutnant,Staffelkapitän of the 4.(S)/Lehrgeschwader 2,21 July 1940,—,—
Erich Groth,Luftwaffe,Hauptmann,Gruppenkommandeur of the II./Zerstörergeschwader 76,1 October 1940,—,—
Heinz Groth?,Heer,Major of the Reserves,Division adjutant of the 1. Volks-Gebirgs-Division and leader of Gebirgsjäger-Regiment 99,9 May 1945,—,—
Hermann Grothaus,Heer,Oberleutnant,Chief of the 11./Artillerie-Regiment 389,10 September 1944,—,—
Siegfried Grotheer,Heer,Oberstleutnant,Commander of Grenadier-Regiment 464,6 November 1943,—,—
Helmut Gruber,Heer,Oberleutnant of the Reserves,Adjutant in the II./Panzergrenadier-Regiment 125,15 January 1943,—,—
Rupert Gruber,Heer,Major,Commander of Sturmgeschütz-Abteilung 209,14 August 1943,—,
Adolf Grubinger,Heer,Oberjäger,Machine gun leader in the 9./Jäger-Regiment 227,28 February 1945,—,—
Peter Grübl,Heer,Obergefreiter,Group leader in the 11./Gebirgsjäger-Regiment 98,20 December 1941,—,—
Werner Grün,Heer,Hauptmann,Leader of the I./Panzer-Regiment 5,8 February 1943,—,—
Hans Grünberg,Luftwaffe,Leutnant,"Pilot in the 5./Jagdgeschwader 3 \Udet\""""",9 June 1944,—,—
Georg Grüner+,Heer,Oberleutnant,"Chief of the 1./Panzer-Regiment 33 \Prinz Eugen\""""",25 November 1941,Awarded 436th Oak Leaves 26 March 1944,
Anton Grünert,Heer,Oberleutnant of the Reserves,Chief of the 3./Sturmgeschütz-Abteilung 201,15 March 1943,—,—
Richard Grünert+,Heer,Oberleutnant of the Reserves,Leader of the 3./Kradschützen-Bataillon 7,14 October 1941,Awarded 244th Oak Leaves 17 May 1943,—
Georg Grünewald,Luftwaffe,Oberfeldwebel,Platoon leader in the 1./Fallschirmjäger-Sturmgeschütz-Brigade 12,29 October 1944,—,—
Rudolf Grünner,Waffen-SS,SS-Unterscharführer,"Group leader in Regiment \Mohr\"" in the fortress Breslau""",10 March 1945,—,—
Harry Grünwald,Heer,Oberleutnant,Chief of the 2./Artillerie-Regiment 18 (motorized),6 February 1944,—,—
Wilhelm Grünwaldt,Heer,Hauptmann of the Reserves,Commander of the I./Panzergrenadier-Regiment 126,17 September 1944,—,—
Herbert Gruhl,Heer,Hauptmann,Chief of the 11./Grenadier-Regiment 133,5 April 1944,—,—
Otto Grumbt,Heer,Hauptmann,Commander of the II./Panzergrenadier-Regiment 111,28 October 1944,—,—
Ernst Grunau,Heer,Oberleutnant,Leader of the Begleitkompanie of the 14. Panzer-Division,4 October 1944,—,—
Julius Grund,Heer,Hauptmann,Commander of the I./Gebirgsjäger-Regiment 138,30 October 1943,—,—
Erich Grundmann,Kriegsmarine,Kapitänleutnant (Ing.),Fleet engineer in the 1. Räumbootflottille,31 May 1940,—,
Wilhelm Grunge,Heer,Obergefreiter,Group leader in the 4./Panzergrenadier-Regiment 93,3 July 1944,—,—
Werner Grunhold,Luftwaffe,Unteroffizier,"Company troop leader in the 3./Fallschirm-Panzergrenadier-Regiment 2 \Hermann Göring\""""",30 November 1944,—,—
