Name,Service,Rank,Role and unit,Date of award,Notes,Image,Irrelevant_1,Random_Column_2,Filler_3
Alfred Greim,Heer,Oberstleutnant,"Commander of the II./Infanterie-Regiment 1 \Großdeutschland\""""",4 June 1942,—,,uFVaSV,Yr8Q3znj,tXAmQc
Robert Ritter von Greim+,Luftwaffe,Generalleutnant,Commanding general of the V. Fliegerkorps,24 June 1940,Awarded 216th Oak Leaves 2 April 194392nd Swords 28 August 1944,,dY8y2qVo,PYwD1Wsf,rLtwL
Andreas Greiner,Heer,Oberjäger,Platoon leader in the 8./Jäger-Regiment 75,6 February 1944,—,—,JntS1,YyLGNfi,mMwfl
Erwin Greiner,Heer,Major,Leader of Grenadier-Regiment 307,29 November 1944,—,—,VB3st,TfEC6Z8A,sDVlS
Heinz Greiner+,Heer,Oberst,Commander of Infanterie-Regiment 499,22 September 1941,Awarded 572nd Oak Leaves 5 September 1944,—,rW3N4,xAHMl2c9,UjZVAL
Hermann Greiner+,Luftwaffe,Oberleutnant,Staffelkapitän of the 11./Nachtjagdgeschwader 1,27 July 1944,Awarded 840th Oak Leaves 17 April 1945,—,xcuDA,x47zD,PLcsNBYn
Hans Greiter,Heer,Unteroffizier,Messenger squadron leader in the I./Grenadier-Regiment 165,13 January 1945,—,—,4ctDUYA5,50gTp,bheRbrD
Gerhard Grenzel,Luftwaffe,Unteroffizier,Pilot in the 2./Sturzkampfgeschwader 1,8 May 1940,—,—,w2hNCmW,NRpyB,rUACVfs
Horst Gresiak,Waffen-SS,SS-Obersturmführer,"Leader of the 7./SS-Panzer-Regiment 2 \Das Reich\""""",25 January 1945,—,—,XZCVayS,UHyo9m,VOUIRSUX
Josef Gretschmann,Heer,Oberfeldwebel,Platoon leader in the 6./Schützen-Regiment 40,11 August 1941,—,—,jvXgE,gXY33UiT,STdGbYm
Carl-Heinz Greve,Luftwaffe,Leutnant,Pilot in the 3./Kampfgruppe 606,7 October 1942,—,—,IjoCL1l,HY5zD90n,UrbQub
Prof. Dr. med.-dent. Karl Greve,Heer,Hauptmann of the Reserves zur Verwendung (for disposition),Commander of the I./Jäger-Regiment 49,18 May 1942,—,—,Xl8mbVy7,N95C6rG,pEztC
Josef Grewe,Luftwaffe,Oberfeldwebel,Pilot in the 9./Schlachtgeschwader 77,20 July 1944,—,—,esztp,SqocRrK,crKwF
Osmar Griebel,Luftwaffe,Feldwebel,Pilot in the 2./Sturzkampfgeschwader 77,5 December 1943,—,—,qDWsR,W5jGGe,sFDmpWMf
Willy Grieme,Waffen-SS,SS-Obersturmführer of the Reserves,"Leader of the 6./SS-Panzergrenadier-Regiment 4 \Der Führer\""""",17 September 1943,—,—,FaAnv,Qbhwy,nuUkEN
Franz Griesbach+,Heer,Major,Commander of the I./Infanterie-Regiment 391,14 March 1942,Awarded 242nd Oak Leaves 17 May 194353rd Swords 6 March 1944,—,YnGYe,X2ZZZRFa,LUzRe
Bernhard Griese,Waffen-SS,SS-Sturmbannführer and Major of the Schupo,Commander of SS-Polizei-Schützen-Bataillon 323,3 May 1942,—,—,vrEZx,0AG8cX,Lbmlj
Max Grieser,Heer,Leutnant,Leader of the 2./Panzergrenadier-Regiment 114,14 August 1944*,Killed in action 5 August 1944,—,SRwVm,toxcB,AhIdlbjq
Fritz Grieshammer,Luftwaffe,Generalmajor,Commander of the 24. Flak-Division,12 April 1945,—,—,GX1c0c,yY5JG,tRraXl
Herbert Griesinger,Heer,Oberjäger,Group leader in Jäger-Regiment 56,2 September 1944,—,—,blMqHVvd,9HHA0V,QliKbhoC
Hans-Christoph Grießbauer,Heer,Rittmeister of the Reserves,Chief of the 4./Füsilier-Bataillon 58,14 November 1943,—,—,rIOeun,zH6jQu,niEhI
Heinz Grimberg,Heer,Hauptmann,Commander of Panzer-Pionier-Bataillon 19,14 April 1945,—,—,U0cvN,Equzazl,zjuhK
Heinz Grimm,Luftwaffe,Leutnant,Pilot in the IV./Nachtjagdgeschwader 1,5 February 1944*,Died of wounds 13 October 1943,—,7bQJKF4u,gWFOE,GutIEaRr
Johannes Grimminger+,Heer,Hauptmann of the Reserves,Leader of Panzergrenadier-Feld-Ersatz-Bataillon 25,23 August 1944,Awarded 776th Oak Leaves 11 March 1945,—,xgEpmih,mfECazc4,gcFdY
Alfred Grislawski+,Luftwaffe,Feldwebel,Pilot in the 9./Jagdgeschwader 52,1 July 1942,Awarded 446th Oak Leaves 11 April 1944,—,mxqF2,nraKcW,nDitkSdh
Werner Grodde,Heer,Hauptmann,Commander of the II./Artillerie-Regiment 13 (L),6 April 1944,—,—,2UqJQAK,s7z6Kr,NTyPavp
Karl-Albrecht von Groddeck,Heer,Oberst,Commander of Infanterie-Regiment 120 (motorized),8 September 1941,—,—,zaGsY,y7uwkd,ErpIwl
Manfred Groebe,Heer,Leutnant,Pioneer platoon leader in the Stabskompanie/Grenadier-Regiment 278,17 March 1945,—,—,WTqEu6kO,bxFfWQ,saKbb
Kurt Gröschke+,Luftwaffe,Major,Commander of the II./Fallschirmjäger-Regiment 1,9 June 1944,Awarded 693rd Oak Leaves 9 January 1945,,ILK2oR,QodHzDPK,WGgniEkP
Ludwig Grözinger,Luftwaffe,Hauptmann,"Staffelkapitän of the 3./Kampfgeschwader 53 \Legion Condor\""""",25 November 1942,—,—,7sYYkV,k6fQOzZU,wTRZFj
Walter Grohe,Heer,Hauptmann of the Reserves,Leader of the I./Panzer-Regiment 35,22 October 1944,—,—,qutud,Jn26D,UNQxG
Franz Grohmann,Waffen-SS,SS-Obersturmführer,"Chief of the 1./SS-Panzergrenadier-Regiment 3 \Deutschland\""""",23 August 1944,—,—,tCiFJXMe,OtOVIx,lAbWaTyE
Helmut Grollmus,Luftwaffe,Leutnant,Pilot in the II./Jagdgeschwader 54,6 October 1944*,Killed in action 19 June 1944,—,POce02Tk,lqJFk3O4,daGFdVz
Gustav Gromeike,Heer,Obergefreiter,In the 2./Pionier-Bataillon 1,19 June 1942,—,—,AdrXH2X,XNOk0PL,oVWqmJ
Fritz Gromotka,Luftwaffe,Leutnant,Staffelkapitän of the 9./Jagdgeschwader 27,28 January 1945,—,—,bin5nx,0X1prMR4,zwaToXjm
Josef Grons,Luftwaffe,Major,Gruppenkommandeur of the I./Transportgeschwader 2,20 April 1944,—,—,Hf1dtcTr,fNHeNM0h,xfakKC
Heinz Gropp?,Waffen-SS,SS-Obersturmführer of the Reserves,"Leader of the 2./SS-Flak-Abteilung 9 \Hohenstaufen\""""",6 May 1945,—,——,qBwu60aV,vFmhuN,ZctCe
Karl Gros,Heer,Oberfeldwebel,Platoon leader in the 1./Panzer-Regiment 2,14 December 1943,—,—,DomDg,IUjBQJy,ZYZCp
