Name,Service,Rank,Role and unit,Date of award,Notes,Image
Horst Grunwald,Heer,Feldwebel,Platoon leader in the 4./Grenadier-Regiment 457,14 May 1944,—,—
Karl-Georg Gschwendtner,Luftwaffe,Oberfeldwebel,Pilot in the 7./Sturzkampfgeschwader 77,5 February 1944,—,—
Karl-Heinrich Gsell,Heer,Leutnant of the Reserves,Leader of the 2./Panzer-Regiment 35,23 February 1944,—,—
Josef Gsinn,Heer,Oberfeldwebel,Platoon leader in the 4./Hochgebirgsjäger-Bataillon 3,20 July 1944,—,—
Rudolf Guckenberger,Heer,Hauptmann,Commander of the II./Infanterie-Regiment 481,20 August 1942,—,—
Alfred Gudelius,Heer,Major,Commander of the II./Schützen-Regiment 14,10 February 1942,—,—
Heinz Guderian+,Heer,General der Panzertruppe,Commanding general of the XIX. Armeekorps,27 October 1939,Awarded 24th Oak Leaves 17 July 1941,
Heinz-Günther Guderian,Heer,Major im Generalstab (in the General Staff),Ia (operations officer) of the 116. Panzer-Division,5 October 1944,—,—
Karl Gümbel,Heer,Oberst,Commander of Infanterie-Regiment 516,30 October 1941,—,—
Ludwig Gümbel,Heer,Oberst,"Leader of Divisions-Gruppe \Gümbel\"" (Grenadier-Regiment 308)""",29 November 1944,—,—
Wilhelm Günter,Heer,Feldwebel,Platoon leader in the 13.(IG)/Grenadier-Regiment 508,5 March 1945,—,—
Alfred Günther,Waffen-SS,SS-Oberscharführer,"Platoon leader in the 1./SS-Sturmgeschütz-Abteilung 1 \Leibstandarte SS Adolf Hitler\""""",3 March 1943,—,
Heinrich-Albert Günther,Luftwaffe,Hauptmann,"Staffelkapitän of the 7./Kampfgeschwader 27 \Boelcke\""""",9 June 1944*,Killed in action 10 January 1944,—
Paul Günther,Luftwaffe,Fahnenjunker-Feldwebel,Pilot in the 9./Schlachtgeschwader 10,2 February 1945,—,—
Wilhelm Günther,Heer,Feldwebel,Platoon leader in the 8./Panzer-Regiment 2,18 December 1942,—,—
Reinhard Günzel+,Luftwaffe,Hauptmann,"Gruppenkommandeur of the II./Kampfgeschwader 27 \Boelcke\""""",17 September 1941,Awarded 184th Oak Leaves 21 January 1943,—
Ernst Gürke,Luftwaffe,Major,Commander of the I./Flak-Regiment 43,3 November 1942,—,—
Martin Gürz,Waffen-SS,SS-Hauptsturmführer,"Leader of the III./SS-Freiwilligen-Panzergrenadier-Regiment 23 \Norge\""""",23 October 1944*,Killed in action 26 September 1944,—
Hans Gütschow,Heer,Leutnant of the Reserves,Company leader in the I./Infanterie-Regiment 545,25 October 1942,—,—
Alois Gugganig,Heer,Feldwebel,Platoon leader in the 12./Gebirgsjäger-Regiment 91,3 April 1943,—,—
Friedrich Guggenberger+,Kriegsmarine,Kapitänleutnant,Commander of U-81,10 December 1941,Awarded 171st Oak Leaves 8 January 1943,
Paul Guhl,Waffen-SS,SS-Hauptsturmführer,"Leader of the III.(gepanzert)/SS-Panzergrenadier-Regiment 2 \Leibstandarte SS Adolf Hitler\""""",4 June 1944,—,—
Hans Guhr,Heer,Oberleutnant,Regiments adjutant in Infanterie-Regiment 513,10 September 1942,—,—
Heinz Guhrke,Kriegsmarine,Oberleutnant zur See of the Reserves,Commander of Torpedoboot TA-20,5 November 1944*,Killed in action 31 October 1944,—
Günther Gumprich,Kriegsmarine,Kapitän zur See,"Commander of auxiliary cruiser \Thor\"" (HSK-4)""",31 December 1942,—,—
Ulrich Gunzert,Heer,Oberleutnant,Chief of the 3./Pionier-Bataillon 258,20 December 1941,—,—
Paul Gurran,Heer,Oberst,Commander of Infanterie-Regiment 506,12 September 1941,—,—
Ernst Guschker,Heer,Hauptmann,Leader of the II./Grenadier-Regiment 587,3 August 1943*,Died of wounds 13 February 1943,—
Werner Gust+,Heer,Hauptmann,Commander of the III./Grenadier-Regiment 477,7 February 1944,Awarded 624th Oak Leaves 18 October 1944,—
Helmut Gutheit,Heer,Leutnant of the Reserves,Leader of Jagdpanzer-Kompanie 1011,17 April 1945,—,—
[Dr.] Gerhard Gutmacher,Heer,Hauptmann,Leader of the I./Grenadier-Regiment 178,14 January 1945,—,—
Heinz Gutmann,Luftwaffe,Oberleutnant,"Staffelführer of the 3./Kampfgeschwader 53 \Legion Condor\""""",5 April 1944,—,—
Joachim Gutmann,Heer,Oberstleutnant,Leader of Panzergrenadier-Regiment 11,18 September 1942,—,—
Erwin Gutzmann,Luftwaffe,Feldwebel,"Pilot in the II./Schlachtgeschwader 2 \Immelmann\""""",26 March 1944,—,—
[Dr.] Hans Gutzmer,Luftwaffe,Hauptmann,Staffelkapitän of the 3./Kampfgeschwader 51,29 February 1944,—,—
Helmut Gutzschhahn,Heer,Hauptmann,Commander of the I./Panzergrenadier-Regiment 6,8 May 1943,—,—
August Györy,Luftwaffe,Oberleutnant,Pilot in the 4.(F)/Aufklärungs-Gruppe 122,26 March 1944,—,—
Robert Gysae+,Kriegsmarine,Kapitänleutnant,Commander of U-98,31 December 1941,Awarded 250th Oak Leaves 31 May 1943,—
