Name,Service,Rank,Role and unit,Date of award,Notes,Image
Hans Gradl,Heer,Major,Commander of the I./Panzer-Regiment 39,15 November 1941,—,—
Heinz Graeber,Luftwaffe,Oberfeldwebel,Radio operator in the 15./Kampfgeschwader 2,30 September 1943,—,—
Viktor-Eberhard Gräbner,Waffen-SS,SS-Hauptsturmführer of the Reserves,"Commander of SS-Panzer-Aufklärungs-Abteilung 9 \Hohenstaufen\""""",23 August 1944,—,—
Werner Gräbner,Heer,Oberfeldwebel,Platoon leader in the 4./Füsilier-Regiment 22,30 September 1944,—,—
Heinz Graebsch,Heer,Hauptmann of the Reserves,Chief of the 14.(Panzerjäger)/Grenadier-Regiment 7,20 July 1944*,Killed in action 14 July 1944,—
Hans Graefe,Luftwaffe,Fahnenjunker-Oberfeldwebel,Observer in the 2.(H)/Aufklärungs-Gruppe 6,26 December 1944,—,—
Fritz-Hubert Gräser+,Heer,Oberst,Commander of Infanterie-Regiment 29 (motorized),19 July 1940,Awarded 517th Oak Leaves 26 June 1944(154th) Swords 8 May 1945?,—
Walther Graeßner,Heer,Generalleutnant,Commander of the 298. Infanterie-Division,27 October 1941,—,—
Erich Grätz,Waffen-SS,SS-Hauptsturmführer,"Chief of the 18.(Panzerjäger)/SS-Panzergrenadier-Regiment 1 \Leibstandarte SS Adolf Hitler\""""",14 May 1944,—,—
Alois Graf,Heer,Oberstleutnant,Commander of Grenadier-Regiment 1082,30 April 1945*,Killed in action 8 April 1945,—
Hermann Graf+,Luftwaffe,Leutnant of the Reserves,Pilot in the 9./Jagdgeschwader 52,24 January 1942,Awarded 93rd Oak Leaves 17 May 194211th Swords 19 May 19425th Diamonds 16 September 1942,—
Rudolf Graf,Luftwaffe,Oberleutnant,"Chief of the 1./Flak-Regiment (motorized) \General Göring\""""",6 October 1941,—,—
Karl von Graffen,Heer,Generalmajor,Leader of the 58. Infanterie-Division,13 August 1942,—,
Friedrich Grammel,Heer,Leutnant,Leader of the 3./Grenadier-Regiment 544,4 May 1944*,Killed in action 17 February 1944,—
Bruno Granitza,Heer,Hauptmann,Chief of the 12./Artillerie-Regiment 329,21 September 1944,—,—
Georg Gransee,Heer,Feldwebel,Platoon leader in the 7./Panzer-Regiment 31,19 September 1943,—,—
Simon Grascher,Waffen-SS,SS-Unterscharführer,"Platoon troop leader in the 9./SS-Panzergrenadier-Regiment 4 \Der Führer\""""",14 August 1943*,Killed in action 14 July 1943,—
Martin Grase+,Heer,Oberst,Commander of Infanterie-Regiment 1,18 October 1941,Awarded 248th Oak Leaves 23 May 1943,—
Anton Grasel,Heer,Oberwachtmeister,Platoon leader in a leichte Flak-Abteilung (motorized),24 October 1944*,Killed in action 16 September 1944,—
Walter Grasemann,Luftwaffe,Oberleutnant,"Staffelkapitän of the 9./Kampfgeschwader 27 \Boelcke\""""",9 October 1943,—,—
Fritz Grassau,Heer,Hauptmann,Commander of the II./Infanterie-Regiment 188,16 July 1941,—,—
Anton Grasser+,Heer,Oberstleutnant,Commander of Infanterie-Regiment 119,16 June 1940,Awarded 344th Oak Leaves 5 December 1943,—
Hartmann Grasser+,Luftwaffe,Oberleutnant,Pilot in the II./Jagdgeschwader 51,4 September 1941,Awarded 288th Oak Leaves 31 August 1943,—
Rudolf Grasser,Heer,Feldwebel,Platoon leader in the 8./Grenadier-Regiment 191,29 November 1944,—,—
Dietrich Graßmann,Luftwaffe,Oberleutnant,"Staffelkapitän of the 1./Kampfgeschwader 4 \General Wever\""""",12 March 1945,—,—
Josef Graßmann,Heer,Major,Commander of the II./Grenadier-Regiment 326,9 November 1942,—,—
Franz Graßmel+,Luftwaffe,Major,Commander of the III./Fallschirmjäger-Regiment 4,8 April 1944,Awarded (868th) Oak Leaves 8 May 1945?,—
Berthold Graßmuck,Luftwaffe,Oberfeldwebel,Pilot in the 2./Jagdgeschwader 52,19 September 1942,—,—
Karl Gratz,Luftwaffe,Unteroffizier,Pilot in the 8./Jagdgeschwader 52,1 July 1942,—,—
Reinhard Graubner,Luftwaffe,Hauptmann,"Gruppenkommandeur of the II./Kampfgeschwader 4 \General Wever\""""",3 September 1943,—,—
Ulrich Grauert,Luftwaffe,General der Flieger,Commanding general of the I. Fliegerkorps,29 May 1940,—,—
August Grauting,Heer,Feldwebel,Platoon leader in Infanterie-Regiment 16,29 May 1940,—,—
Sigmund-Ulrich Freiherr von Gravenreuth+,Luftwaffe,Oberleutnant,Pilot in the 1./Kampfgeschwader 30,24 November 1940,Awarded 692nd Oak Leaves 9 January 1945,—
Gerhard Grebarsche,Waffen-SS,SS-Hauptscharführer,"Platoon leader in the 3./SS-Panzergrenadier-Regiment 2 \Leibstandarte SS Adolf Hitler\""""",24 January 1944,—,—
Franz Greck,Heer,Unteroffizier,Company troop leader in the 4./Panzer-Aufklärungs-Abteilung 8,5 February 1945,—,—
Otto Greese,Heer,Obergefreiter,1st machine gunner in the 6./Grenadier-Regiment 487,24 November 1943*,Killed in action 2 November 1943,—
Heinz Grehl,Heer,Oberleutnant of the Reserves,"Company leader in Festungs-Grenadier-Regiment \Mohr\"" in fortress Breslau""",30 April 1945,—,—
Hans von Greiffenberg,Heer,Generalmajor,Chief of the general staff of the 12. Armee,18 May 1941,—,
