Name,Service,Rank,Role and unit,Date of award,Notes,Image,Extra_Data_1
Ludger Glettenberg,Heer,Major of the Reserves,Commander of the I./Infanterie-Regiment 549,24 September 1942*,Killed in action 11 August 1942,—,990
Paul Gliemann,Heer,Oberstleutnant,Commander of Grenadier-Regiment 481,24 December 1944,—,—,153
Dr. med.dent. Paul Gloger,Heer,Major,Commander of Sturmgeschütz-Abteilung 244,25 January 1943,—,—,189
Adolf Glunz+,Luftwaffe,Oberfeldwebel,"Pilot in the 4./Jagdgeschwader 26 \Schlageter\""""",29 August 1943,Awarded 508th Oak Leaves 24 June 1944,—,564
Franz Gnaden,Heer,Major,Commander of the I./Gebirgsjäger-Regiment 85,8 August 1941,—,—,989
Fritz Gneikow,Heer,Unteroffizier,Group leader in the 3./Grenadier-Regiment 12,26 November 1944,—,—,813
Ernst-Ascan Gobert,Luftwaffe,Hauptmann,"Staffelkapitän of the 2./Kampfgeschwader 53 \Legion Condor\""""",3 April 1944,—,—,911
Johannes Godde,Heer,Major,Commander of the III./Artillerie-Regiment 18 (L),24 January 1945,—,—,960
Emil Goden,Heer,Oberfeldwebel,Platoon leader in the 3./Grenadier-Regiment 407,26 August 1943,—,—,937
Arthur Godenau,Kriegsmarine,Stabsobersteuermann,Commander of Räumboot R-51 in the 1. Räumbootflottille,31 May 1940,—,,507
Günter Goebel+,Heer,Oberleutnant,Regiments adjutant of Infanterie-Regiment 208,18 October 1941,Awarded 180th Oak Leaves 18 January 1943,,720
Günther Goebel,Heer,Hauptmann,Chief of the 1./Artillerie-Pak-Abteilung 1064 (motorized),3 November 1944,—,—,907
Hans Göbel,Heer,Hauptmann,Commander of the II./Grenadier-Regiment 1226,29 April 1945,—,—,955
Herbert Göbel,Heer,Oberleutnant,Chief of the 11./Infanterie-Regiment 461,19 March 1941,—,—,669
Karl Göbel+,Heer,Major,Commander of the III./Infanterie-Regiment 420,10 September 1942,Awarded 252nd Oak Leaves 8 June 1943,—,210
Kilian Göbel,Heer,Oberfeldwebel,Platoon leader in the 1./Panzer-Jäger-Abteilung 49,26 November 1944*,Died of wounds 29 October 1944,—,519
Siegfried Göbel,Luftwaffe,Oberleutnant,Staffelkapitän in the III./Sturzkampfgeschwader 3,3 February 1943,—,—,783
Werner Göbel,Heer,Gefreiter,In the 7./Grenadier-Regiment 670,30 September 1944,—,—,578
Johannes Göhler,Waffen-SS,SS-Obersturmführer,Chief of the 4./SS-Reiter-Regiment 1,17 September 1943,—,—,830
Siegwart Göller?,Heer,Hauptmann of the Reserves,Commander of the II./Gebirgsjäger-Regiment 98,9 May 1945,—,—,988
Dr.Dr. Wilhelm Göller,Heer,Oberst,Commander of fortress Pionier-Stab 30,27 December 1942,—,—,644
Ludwig Gölz,Heer,Hauptmann,Commander of Feldersatz-Bataillon 208,5 April 1945,—,—,24
Hermann Göring,Luftwaffe,Generalfeldmarschall,Reichsminister of aviation and commander-in-chief of the Luftwaffe,30 September 1939,Awarded 1st Grand Cross of the Iron Cross 19 July 1940,,26
Werner Goeritz,Heer,Generalleutnant,Commander of the 291. Infanterie-Division,6 November 1943,—,—,581
Rudolf Goerke,Heer,Leutnant of the Reserves,Leader of the 11./Grenadier-Regiment 410,9 June 1944,—,—,671
Richard Görlich,Heer,Unteroffizier,Group leader of the 1./Panzergrenadier-Regiment 394,4 July 1944,—,—,987
Jürgen von Goerne-Plaue,Heer,Hauptmann,Commander of Aufklärungs-Abteilung 29 (motorized),20 October 1941,—,—,851
Ewald Görsch,Heer,Oberfeldwebel,Platoon leader in the 8./Panzergrenadier-Regiment 13,15 March 1943,—,—,279
Horst Görtler,Luftwaffe,Feldwebel,Pilot in the Stab/Schlachtgeschwader 77,28 March 1945,—,—,948
Helmut Görtz,Luftwaffe,Feldwebel,Platoon leader in the 3./Fallschirmjäger-Regiment 1,24 May 1940,—,—,468
Franz Gößmann,Heer,Oberfeldwebel,"Platoon leader in the 2./Grenadier-Regiment 199 \List\""""",14 May 1944,—,—,519
[Dr.] Erich Göstl,Waffen-SS,SS-Panzergrenadier,"Machine gunner 1 in 6./SS-Panzergrenadier-Regiment 1 \Leibstandarte SS Adolf Hitler\""""",31 October 1944,—,—,123
Oswin Göttert,Heer,Obergefreiter,Group leader in the 11./Grenadier-Regiment 445,7 September 1943,—,—,383
Rudolf Göttinger,Heer,Oberleutnant,Chief of the 13.(IG)/Gebirgsjäger-Regiment 91,14 December 1943,—,—,485
Johann Göttler,Heer,Oberfeldwebel,Platoon leader in the 6./Panzergrenadier-Regiment 63,1 September 1943,—,—,817
Waldemar Goettler,Heer,Feldwebel,Platoon leader in Abwehrkommando 201 (Inf.),2 August 1943,—,—,159
Franz Götz,Luftwaffe,Oberleutnant,Staffelkapitän of the 9./Jagdgeschwader 53,4 September 1942,—,—,809
Hans Götz,Luftwaffe,Oberleutnant,Pilot in the 2./Jagdgeschwader 54,23 December 1942,—,—,683
