Name,Service,Rank,Role and unit,Date of award,Notes,Image
Heinrich Götz+,Heer,Oberstleutnant,Commander of Infanterie-Regiment 466,3 May 1942,Awarded 765th Oak Leaves 5 March 1945,—
Karl Götze,Luftwaffe,Oberleutnant,Chief of the 1./Flak-Regiment 37 (motorized),21 July 1940,—,—
Manfred Goetze,Luftwaffe,Oberleutnant,Staffelführer of the 8./Schlachtgeschwader 10,19 August 1944,—,—
Axel Goetzke,Kriegsmarine,Leutnant zur See of the Reserves,Commander of Räumboot R-16 in the 5. Räumbootflottille,27 December 1941*,Killed in action (sabotage) 14 September 1941,—
Otto Gohde,Heer,Oberfeldwebel,Deputy leader of the 3./Grenadier-Regiment 368,6 February 1944,—,—
Paul Golbach,Heer,Oberwachtmeister,Platoon leader in the 5./Artillerie-Regiment 263,13 October 1941,—,—
Friedrich Goldammer,Heer,Hauptmann,Commander of Schnelle Abteilung 306,22 August 1943,—,—
Heinz Goldberg,Heer,Gefreiter,Richkanonier (gunner) in the 6./Artillerie-Regiment 333,27 September 1943,—,—
Kurt Goldbruch,Luftwaffe,Oberleutnant,Staffelkapitän of the 8./Schlachtgeschwader 1,28 January 1945,—,—
Jakob Goldbrunner,Heer,Feldwebel,Platoon leader in the 5./Infanterie-Regiment 19,17 September 1941,—,—
Heinz Golinski,Luftwaffe,Unteroffizier,Pilot in the 3./Jagdgeschwader 53,30 October 1942*,Killed in action 16 October 1942,—
Eitel Goll,Heer,Rittmeister,Commander of Radfahr-Abteilung 117,13 September 1942,—,—
Josef Gollas,Heer,Feldwebel,Platoon leader of the 6./Infanterie-Regiment 106,18 November 1941,—,—
Josef Gollé,Heer,Major,Commander of the I./Infanterie-Regiment 339,19 July 1940,—,—
Hans-Detlef Gollert-Hansen+,Heer,Oberleutnant of the Reserves,Chief of the Radfahr-Aufklärungs-Schwadron 173,31 July 1943,Awarded 699th Oak Leaves 14 January 1945,—
Karl Golles,Luftwaffe,Oberfeldwebel,Pilot in the 9./Schlachtgeschwader 4,9 June 1944,—,—
Hans Gollnick+,Heer,Generalmajor,Commander of the 36. Infanterie-Division (motorized),21 November 1942,Awarded 282nd Oak Leaves 24 August 1943,—
Klaus Gollnick,Heer,Hauptmann,Leader of Divisions-Füsilier-Bataillon 371,7 October 1944,—,—
Gordon Gollob+,Luftwaffe,Hauptmann,Gruppenkommandeur of the II./Jagdgeschwader 3,18 September 1941,Awarded 38th Oak Leaves 26 October 194113th Swords 23 June 19423rd Diamonds 30 August 1942,
Friedrich Gollwitzer,Heer,Generalleutnant,Commander of the 88. Infanterie-Division,8 February 1943,—,—
Albert Graf von der Goltz+,Heer,Major of the Reserves,Commander of the I./Infanterie-Regiment 415,7 May 1942,Awarded 316th Oak Leaves 2 November 1943,
Kurt Goltzsch,Luftwaffe,Leutnant,"Pilot in the 5./Jagdgeschwader 2 \Richthofen\""""",5 February 1944,—,—
Herbert Golz?,Waffen-SS,SS-Standartenführer and Oberst of the Schupo,Chief of the Generalstab of the X. SS-Armeekorps and leader of a Kampfgruppe,3 May 1945,—,—
Richard Gombert,Heer,Oberleutnant of the Reserves,Leader of the 6./Jäger-Regiment 83,23 February 1944,—,—
Herbert Gomille,Heer,Hauptmann,Commander of the II./Panzer-Regiment 4,25 October 1942,—,—
Wilhelm Goriany,Heer,Major,Commander of the II./Gebirgs-Artillerie-Regiment 85,18 July 1943,—,—
Walter Gorn+,Heer,Major,Commander of the I./Schützen-Regiment 10,20 April 1941,Awarded 113th Oak Leaves 17 August 194230th Swords 8 June 1943,—
Alfred Gorski,Heer,Unteroffizier,Group leader in the 4.(MG)/Grenadier-Regiment 576,21 January 1945,—,—
Artur Gorski,Heer,Unteroffizier,Group leader in the 3./Grenadier-Regiment 30 (motorized),28 November 1943,—,—
Ferdinand Gosewisch,Heer,Oberst of the Reserves,Commander of Artillerie-Regiment 362,4 July 1944,—,—
Heinz Gossow,Luftwaffe,Oberfeldwebel,Pilot in the 1./Jagdgeschwader 302,28 October 1944,—,—
Curt von Gottberg,Waffen-SS,SS-Gruppenführer and Generalleutnant of the Polizei,"Leader of Kampfgruppe \von Gottberg\""""",30 June 1944,—,—
Heinrich Gottke,Waffen-SS,SS-Unterscharführer,"Vorgeschobener Beobachter (forward observer) in the 3./SS-Flak-Abteilung 17 \Götz von Berlichingen\""""",27 December 1944,—,—
Rainer Gottstein,Waffen-SS,SS-Obersturmbannführer,Commander Sipo and SD Budapest and leader of a Kampfgruppe,6 February 1945,—,—
Heinz Graber,Luftwaffe,Leutnant,"Staffelführer of the 7./Sturzkampfgeschwader 2 \Immelmann\""""",19 June 1942,—,—
Siegfried Grabert+,Heer,Oberleutnant of the Reserves,"Leader of a special commando in the Bau-Lehr-Bataillon z.b.V. 800 \Brandenburg\""""",10 June 1941,Awarded 320th Oak Leaves 6 November 1943,
Walter Grabmann,Luftwaffe,Oberstleutnant,Geschwaderkommodore of Zerstörergeschwader 76,14 September 1940,—,—
Josef Grabowski,Heer,Leutnant,Leader of the 4./Panzergrenadier-Regiment 110,18 January 1944,—,—
