Name,Service,Rank,Role and unit,Date of award,Notes,Image,Irrelevant_1
Heinrich Gath,Heer,Stabsfeldwebel,Platoon leader in the 2./Panzer-Aufklärungs-Abteilung 2,11 October 1943,—,—,5gLiVI1
[Dr.] Wilhelm Gathmann,Heer,Major,Commander of the II./Artillerie-Regiment 14,28 March 1945,—,—,oCNpEcL0
Helmut Gattermann,Heer,Hauptmann of the Reserves,Chief of the 1./Sturmgeschütz-Brigade 209,12 August 1944,—,—,UI1rY
Gerlach von Gaudecker-Zuch,Heer,Oberstleutnant,Commander of Panzergrenadier-Regiment 33,8 August 1944,—,—,QKCTiNvj
Josef Gauglitz,Heer,Oberleutnant,Leader of the III./Panzer-Regiment 33,16 November 1944,—,—,GsBw7ZQ
Albert Gaum,Heer,Hauptmann,Chief of the 11./Gebirgsjäger-Regiment 100,13 June 1941,—,—,FZXGvWl
Georg Reichsfreiherr von Gaupp-Berghausen,Heer,Hauptmann,Commander of the II./Panzergrenadier-Regiment 12,30 September 1944,—,—,gM02F
Alfred Gause,Heer,Generalmajor,"Chief of the Generalstab of the Panzer Gruppe \Afrika\""""",13 December 1941,—,—,VWKYC
Jürgen Gauß,Heer,Hauptmann,Leader of a Kampfgruppe in the 12. Panzer-Division,28 March 1945,—,—,qhh9Dr
Waldemar von Gazen+ also known as von Gaza,Heer,Oberleutnant,Chief of the 2./Panzergrenadier-Regiment 66,18 September 1942,Awarded 182nd Oak Leaves 18 January 194338th Swords 3 October 1943,—,b9jyQm6k
Fritz Gebauer,Heer,Oberfeldwebel,Shock troops leader in the 3./Grenz-Pionier-Bataillon 74,13 July 1940,—,—,IhPIwZ
Georg Gebhard,Heer,Major,Commander of the III./Grenadier-Brigade 503,23 October 1944,—,—,TCwdZfT
Gebhard?,Waffen-SS,SS-Oberscharführer,"Platoon leader in the 2./SS-Panzer-Pionier-Bataillon 2 \Das Reich\""""",6 May 1945,—,—,NYejoEL
Georg Gebhardt+,Heer,Hauptmann of the Reserves,Commander of III./Jäger-Regiment 204,15 May 1943,Awarded 743rd Oak Leaves 19 February 1945,—,nfR0y
Rolf Gebhardt,Heer,Fahnenjunker-Feldwebel,Platoon leader in the 2./schwere Panzer-Abteilung 507,30 September 1944,—,—,jxfQv4N
Ernst-Wilhelm Freiherr Gedult von Jungenfeld,Heer,Oberst of the Reserves,Leader of a Kampfgruppe,11 January 1945,—,—,E6C5w
Arno Geelhaar,Heer,Leutnant of the Reserves,Leader of the 7./Grenadier-Regiment 151,16 April 1944,—,—,bSr05n
Paul Gehl?,Heer,Oberleutnant of the Reserves,Leader of the I./Grenadier-Regiment 453,9 May 1945,—,—,mX4Q5
Kurt Gehrke,Heer,Oberstleutnant,"Commander of the I./Grenadier-Regiment \Großdeutschland\""""",8 February 1943,—,—,gjaEVv1
Gerhard Gehrmann,Heer,Oberleutnant of the Reserves,Chief of the 3./Grenadier-Regiment 422,15 April 1944,—,—,nshf6
Johannes Gehrmann,Luftwaffe,Hauptmann of the Reserves,Staffelkapitän of the 6./Schlachtgeschwader 1,31 December 1943,—,—,5mkUb
August Geiger+,Luftwaffe,Oberleutnant,Staffelkapitän of the 7./Nachtjagdgeschwader 1,22 May 1943,Awarded 416th Oak Leaves 2 March 1944,—,Ec0C1W9
Georg Geiger,Heer,Obergefreiter,"Group leader in the 10./Grenadier-Regiment 19 \List\""""",20 October 1944,—,—,2RKWAhIX
Herbert Geiger,Heer,Oberfeldwebel,Company troop leader in the 1./Grenadier-Regiment 380,8 August 1944,—,—,dT8AYfE
Wilhelm Geisberg,Heer,Oberleutnant,Chief of the 3./Führer-Panzer-Regiment 1 (Führer-Begleit-Division),14 April 1945,—,—,Jb4mS
Hans Geisler,Luftwaffe,Generalleutnant,Commanding general of X. Fliegerkorps,4 May 1940,—,,pcFHmV
Herbert Geisler,Luftwaffe,Oberfeldwebel,"Pilot in the Stabsstaffel/Kampfgeschwader 4 \General Wever\""""",24 October 1944,—,—,JKwEbUay
Kurt Geisler,Luftwaffe,Hauptmann,Commander of Lufttransportgruppe Don,24 January 1943,—,—,qS9MU
Rudolf Geisler+,Heer,Major,Commander of Pionier-Bataillon 662,7 December 1943,Awarded 455th Oak Leaves 13 April 1944,—,1094VpF
Siegfried Geisler,Luftwaffe,Hauptmann,Gruppenkommandeur of the II./Kampfgeschwader 76,20 July 1944,—,—,IeTX5Zk
Johannes Geismann,Luftwaffe,Leutnant,Pilot in the 1./Kampfgeschwader 77,21 December 1942,—,—,KgEVbEZ
Friedrich Geißhardt+,Luftwaffe,Leutnant,Pilot in the I./Jagdgeschwader 77,30 August 1941,Awarded 101st Oak Leaves 23 June 1942,—,KADjGlG
Erich Geißler,Heer,Oberst,Commander of Infanterie-Regiment 200 (motorized) in DAK,29 July 1942,—,—,jrxBk
Gottfried Geißler,Heer,Oberleutnant,Chief of the 3./Sturmgeschütz-Abteilung 185,21 August 1941,—,—,5DFf2tw
Helmut Geißler,Heer,Oberst,Commander of Grenadier-Regiment 187,7 January 1944*,Killed in action 15 December 1943,—,tks46
Karl Geißler,Heer,Oberleutnant of the Reserves,Chief of the 5./Grenadier-Regiment 46,1 February 1945,—,—,sxc6u
Willy Geißler,Heer,Unteroffizier,Group leader in the 5./Panzer-Aufklärungs-Abteilung 7,14 May 1944,—,—,PlD8Ah
Rudi Gelbhaar,Kriegsmarine,Oberleutnant (M.A.) of the Reserves,"Chief of Marine-Batterie \Hamburg\"" in the Marine-Artillerie-Abteilung 604""",26 June 1944,—,—,ZHT4HPG
