Res.,Record,Opponent,Method,Event,Date,Round,Time,Location,Notes
Loss,21-7,Kenji Osawa,Decision (unanimous),Vale Tudo Japan 2012,"December 24, 2012",3,5:00,"Tokyo, Japan",
Loss,21-6,Hiroyuki Takaya,Decision (unanimous),Fight For Japan: Genki Desu Ka Omisoka 2011,"December 31, 2011",5,5:00,"Tokyo, Japan, Japan",For DREAM Featherweight Championship
Win,21-5,Caol Uno,KO (head kick),Dream 17,"September 24, 2011",1,4:17,"Saitama, Japan",
Win,20-5,Koichiro Matsumoto,TKO (punches),Dream: Fight for Japan!,"May 29, 2011",1,6:51,"Saitama, Japan",
Win,19-5,Taiki Tsuchiya,TKO (punches),Shooto Tradition 2011,"April 29, 2011",2,4:27,"Tokyo, Japan",
Loss,18-5,Kazuyuki Miyata,Decision (unanimous),Dream 16,"September 25, 2010",2,5:00,"Nagoya, Japan",
Loss,18-4,Hatsu Hioki,Decision (split),"Shooto: The Way of Shooto 3: Like a Tiger, Like a Dragon","May 30, 2010",3,5:00,"Tokyo, Japan",Lost Shooto Lightweight (143 lbs.) Championship
Win,18-3,Gerald Lovato,Submission (armbar),"Shooto: The Way of Shooto 1: Like a Tiger, Like a Dragon","January 23, 2010",3,4:11,"Tokyo, Japan",
Win,17-3,Alexandre Franca Nogueira,TKO (punches),Vale Tudo Japan 2009,"October 30, 2009",4,2:58,"Tokyo, Japan",
Win,16-3,Rumina Sato,TKO (punches),Shooto Tradition Final,"May 10, 2009",1,4:41,"Tokyo, Japan",Defended Shooto Lightweight (143 lbs.) Championship
Win,15-3,Hideki Kadowaki,Decision (unanimous),Shooto Tradition 4,"November 29, 2008",3,5:00,"Tokyo, Japan",Won Shooto Lightweight (143 lbs.) Championship
Loss,14–3,Savant Young,Decision (unanimous),Shooto Tradition 1,"May 3, 2008",2,5:00,"Tokyo, Japan",
Win,14–2,Katsuya Toida,Decision (unanimous),Shooto: Back To Our Roots 6,"November 8, 2007",3,5:00,"Tokyo, Japan",
Win,13–2,Marc Duncan,Submission (rear-naked choke),Shooto: Back To Our Roots 4,"July 15, 2007",1,3:16,"Tokyo, Japan",
