Res.,Record,Opponent,Method,Event,Date,Round,Time,Location,Notes,Irrelevant_1,Extra_Data_2
Loss,12-2,Akitoshi Tamura,Decision (unanimous),Shooto: Back To Our Roots 3,"May 18, 2007",3,5:00,"Tokyo, Japan",Lost Shooto Lightweight (143 lbs.) Championship,sQnwa8K4,81
Win,12–1,Hiroyuki Abe,KO (punch),Shooto: Back To Our Roots 1,"February 17, 2007",1,4:05,"Yokohama, Japan",,u4bHHLx,781
Win,11–1,Navid Yousefi,Submission (rear-naked choke),Shooto: Champion Carnival,"October 14, 2006",2,4:35,"Yokohama, Japan",,Ttizw,782
Win,10–1,Cole Miller,Decision (unanimous),Shooto 2006: 7/21 in Korakuen Hall,"July 21, 2006",3,5:00,"Tokyo, Japan",,eTCsBi3,602
Win,9–1,Antonio Carvalho,TKO (punches),Shooto: The Devilock,"May 12, 2006",1,3:06,"Tokyo, Japan",Won Shooto Lightweight (143 lbs.) Championship,MtLNCQet,530
Win,8–1,Makoto Ishikawa,Decision (unanimous),Shooto: The Victory of the Truth,"February 17, 2006",3,5:00,"Tokyo, Japan",,JTcQVoQ,379
Win,7–1,Akitoshi Tamura,Decision (majority),Shooto 2005: 11/6 in Korakuen Hall,"November 6, 2005",2,5:00,"Tokyo, Japan",,pdg6j,109
Loss,6–1,Antonio Carvalho,Decision (majority),Shooto: Alive Road,"August 20, 2005",3,5:00,"Yokohama, Japan",,D7NDwi1A,362
Win,6–0,Jin Kazeta,Submission (rear-naked choke),Shooto: 3/11 in Korakuen Hall,"March 11, 2005",2,4:17,"Tokyo, Japan",,O4Iu5eB,389
Win,5–0,Hayate Usui,KO (punch),Shooto: Wanna Shooto 2004,"November 12, 2004",2,4:58,"Tokyo, Japan",,DT49l,154
Win,4–0,Keisuke Yamada,Decision (unanimous),Shooto: 7/16 in Korakuen Hall,"July 16, 2004",2,5:00,"Tokyo, Japan",,xAFer,582
Win,3–0,Yohei Suzuki,TKO (punches),Shooto: 3/22 in Korakuen Hall,"March 22, 2004",1,2:40,"Tokyo, Japan",,HktSf3l,239
Win,2–0,Masanori Sugatani,TKO (cut),Shooto: Who is Young Leader!,"October 31, 2003",1,3:04,"Tokyo, Japan",,IvIhH0,411
Win,1–0,Hayate Usui,Decision (unanimous),Shooto: Shooter's Dream 2,"May 30, 2003",2,5:00,"Tokyo, Japan",,9l2o5,89
