#,Title,Producers,Guest Performers,Length,Irrelevant_1,Random_Column_2,Extra_Data_3
11.,"\Give My Last Breathe Intro\""""",Mike Dean,,1:40,1HkZo,ZWdbwKHt,647
12.,"\Give My Last Breathe\""""",Mr. Lee,,4:23,MlvZk,NFT31u,675
13.,"\Gittin' High\""""",Mr. Rogers,,4:06,LhU8p8,VwLzWJ3,792
14.,"\Life Goes On Interlude #4""",,Lil' Duval,1:00,haxOzoLW,s10FR,226
15.,"\Ghetto Queen\""""",I.N.F.O. & NOVA,Lloyd & Rich Boy,5:00,MUUL3fHo,7PftIQ,555
16.,"\Million Bucks\""""",Platinum Hands,Jay'Ton & Lil' Boss,4:43,4xgj3aeO,ZQFCMWir,334
17.,"\C Me Ride\""""",Nitti,,4:51,CyUwhXkc,ROlIUl6L,655
18.,"\I'm Good\""""",I.N.F.O. & NOVA,Jody Breeze,4:21,zQXj9,fJW1ux,163
19.,"\The Truth\""""",I.N.F.O. & NOVA,,4:07,G92bhdY4,p8RfTtH2,801
20.,"\Life Goes On\"" (Outro)""",,Lil' Duval,0:38,vy2UxK,GOjdarfg,118
