Date,Opponent,Venue,Result,Attendance,Scorers,Dummy_Col_1,Filler_2
7 August 2004,Plymouth Argyle,A,0-0,"16,063",,IPBlma,dhbQvLXw
10 August 2004,Wigan Athletic,H,0-2,"10,660",,uUtqhr,DcmyM
14 August 2004,Leicester City,H,2-0,"11,754","Morris, Dichio",bBnIGSic,wVurX
21 August 2004,Coventry City,A,1-0,"13,910",Dichio,yVjdWIIB,vaBgf
28 August 2004,Reading,H,1-0,"12,098",Dichio,ZRqHlNRL,jTsjCdJL
12 September 2004,Ipswich Town,A,0-2,"21,246",,ZpolHt,gXztajCq
19 September 2004,Watford,H,0-2,"10,865",,mWvVgf,BGZZu
22 September 2004,Derby County,H,3-1,"23,422","Simpson, Ifill",taKNCn,yPrdS
25 September 2004,Rotherham United,A,1-1,"5,062",Ifill,VMOHv,tfgun
3 October 2004,Nottingham Forest,H,1-0,"11,233",Livermore,bOjYABc,zeNFy
16 October 2004,Sunderland,A,0-1,"23,839",,yLGjr,zBHKwycJ
19 October 2004,Gillingham,H,2-1,"10,722","Hayles, Dunne",ttaGYWyh,lyEzdn
