Date,Opponent,Venue,Result,Attendance,Scorers
26 December 2004,Ipswich Town,H,3-1,"14,532","Hayles, Dichio, Dobie"
28 December 2004,Derby County,A,3-0,"27,725",Hayles (3)
1 January 2005,Watford,A,0-1,"13,158",
3 January 2005,Rotherham United,H,1-2,"11,725",Dunne
15 January 2005,Nottingham Forest,A,2-1,"25,949","Hayles, Dunne"
22 January 2005,Wolverhampton Wanderers,H,1-2,"13,145",Wise (pen)
5 February 2005,Queens Park Rangers,H,0-0,"15,603",
12 February 2005,Gillingham,A,0-0,"9,127",
19 February 2005,Stoke City,H,0-1,"11,036",
22 February 2005,Cardiff City,A,1-0,"11,424",Dichio (pen)
26 February 2005,Brighton & Hove Albion,A,0-1,"6,608",
