Date,Opponent,Score,Result,Location,Attendance,Noise_Field_1
"January 10, 1949",Ohio State,64–63,Win,"Columbus, OH","6,958",JceRG
"January 15, 1949",Creighton,96–30,Win,"Champaign, IL","6,958",RXpGkQu
"January 29, 1949",Minnesota (ranked #4),45–44,Win,"Champaign, IL","6,905",LYYysKe
"January 31, 1949",Purdue,53–55,Loss,"West Lafayette, IN","10,000",OKoQsqYe
"February 5, 1949",Wisconsin,61–54,Win,"Madison, WI","13,5000",LdGpj
"February 7, 1949",Northwestern,85–66,Win,"Champaign, IL",-,IQfcGY
"February 12, 1949",Ohio State,64–49,Win,"Champaign, IL","6,905",wonir
"February 21, 1949",Iowa,80–49,Win,"Champaign, IL",-,wmsPmJtz
"February 26, 1949",Northwestern,81–64,Win,"Chicago, IL","17,905",nrFju
"February 28, 1949",Indiana,91–28,Win,"Champaign, IL",-,DBYnfFco
"March 7, 1949",Michigan,53–70,Loss,"Ann Arbor, MI",-,gvGYGNtz
