Nation,Model,Length,Barrel length,Weight
Denmark,Rifle 1889,1328 mm / 52.28 in,832 mm / 32.78 in,4.275 kg / 9.5 lb
Denmark,Carbine 1889,1100 mm / 43.3 in,610 mm / 24 in,3.96 kg / 8.8 lb
Denmark,Sniper Rifle 1928,1168 mm / 46 in,675 mm / 26.6 in,5.265 kg / 11.7 lb
USA,M1892 Rifle,1244.6 mm / 49 in,762 mm / 30 in,4.221 kg / 9.38 lb
USA,M1892 Carbine,1046.5 mm / 41.2 in,558.8 mm / 22 in,3.735 kg / 8.3 lb
USA,M1896 Rifle,1244.6 mm / 49 in,762 mm / 30 in,4.023 kg / 8.94 lb
USA,M1896 Cadet Rifle,1244.6 mm / 49 in,762 mm / 30 in,4.05 kg / 9.0 lb
USA,M1896 Carbine,1046.5 mm / 41.2 in,558.8 mm / 22 in,3.488 kg / 7.75 lb
USA,M1898 Rifle,1247.1 mm / 49.1 in,762 mm / 30 in,4.05 kg 9.0 lb
USA,M1898 Carbine,1046.5 mm / 41.2 in,558.8 mm / 22 in,3.51 kg / 7.8 lb
