Designation,Classification,Constellation,Apparent Magnitude
NGC 4088,SAB(rs)bc,Ursa Major,11.2
NGC 4216,SAB(s)b,Virgo,11.0
NGC 4314,SBa,Coma Berenices,
NGC 4395,SA(s)m,Canes Venatici,10.6
NGC 4414,SA(rs)c,Coma Berenices,11.0
NGC 4565,SA(s)b,Coma Berenices,10.42
NGC 4618,SB(rs)m,Canes Venatici,11.2
NGC 4625,SAB(rs)m pec,Canes Venatici,13.2
NGC 4631,SB(s)d,Canes Venatici,9.8
NGC 4725,SAB(r)ab pec,Coma Berenices,10.1
NGC 4911,Sb,Coma Berenices,Unknown
NGC 4945,SB(s)cd,Centaurus,9.3
NGC 5005,SAB(rs)bc,Canes Venatici,10.6
