Designation,Classification,Constellation,Apparent Magnitude
M91,SBb(rs),Coma Berenices,11.0
M94,SA(r)ab,Canes Venatici,9.0
M95,SB(r)b,Leo,11.4
M96,SAB(rs)ab,Leo,10.1
M98,SAB(s)ab,Coma Berenices,11
"M99, Coma Pinwheel Galaxy",SA(s)c,Coma Berenices,10.4
M100,SAB(s)bc,Coma Berenices,10.1
"M101, Pinwheel Galaxy",SAB(rs)cd,Ursa Major,8.3
"M104, Sombrero Galaxy",SA(s)a,Virgo,9.0
M106,SAB(s)bc,Canes Venatici,9.1
M108,SB(s)cd,Ursa Major,10.7
M109,SB(rs)bc,Ursa Major,10.6
Maffei 2,SAB(rs)bc,Cassiopeia,16.0
