Designation,Classification,Constellation,Apparent Magnitude
NGC 1042,SAB(rs)cd,Cetus,14.0
NGC 1055,SBb:II-III: spindle,Cetus,11.6
NGC 1087,SAB(rs)c,Cetus,12.2
NGC 1090,SB(rs)bc,Cetus,12.5
NGC 1097,R'_1:)SB(r'l)bSy1,Fornax,10.2
NGC 1232,SAB(rs)c,Eridanus,10.9
NGC 1300,(R')SB(s)bc,Eridanus,11.4
NGC 1365,(R')SBb(s)b,Fornax,10.3
NGC 1512,SB(r)ab,Horologium,11.1
NGC 1532,SB(s)b pec,Eridanus,10.7
NGC 1637,SAB(rs)c,Eridanus,11.5
NGC 2207,SAB(rs)bc pec,Canis Major,12.2
NGC 2403,SAB(s)cd,Camelopardalis,8.9
