Catalogue number,Artist,Release title,Format,Release date,Unused_1,Noise_Field_2
Eskaton 14,Coil,Summer Solstice: Bee Stings,CD,1998,,wBPdjo
Eskaton 15,Coil,Autumn Equinox: Amethyst Deceivers,"7\ vinyl""",1998,,evbdfMLU
Eskaton 16,Coil,Autumn Equinox: Amethyst Deceivers,CD,1998,,jNsrPK
Eskaton 17,Zos Kia/Coil,Transparent,"12\ vinyl""",1998,,WOOjhkHF
Eskaton 18,Coil,Winter Solstice: North,"7\ vinyl""",1999,,RWYlJVAY
Eskaton 19,Coil,Winter Solstice: North,CD,1999,,vWQZnZ
Eskaton 20,Coil,Queens of the Circulating Library,CD,2000,,sdxwtIK
Eskaton 21,Thighpaulsandra,Some Head EP,CD,2000,,mVJzxJFE
Eskaton 22,,(Backwards watch),watch,2000,,INacx
Eskaton 23,Coil,Moons Milk (In Four Phases),2XCD,2001,,YiMYsY
Eskaton CD 24,Coil,Coil Presents Time Machines,CD,2000,,NDVHPCCr
Eskaton 24,Coil,Constant Shallowness Leads To Evil,CD,2001,,pOZkhPT
