Catalogue number,Artist,Release title,Format,Release date
Eskaton 25,,(unreleased),,
Eskaton 26,Thighpaulsandra,"I, Thighpaulsandra","2XCD, 2X12\ vinyl""",2001
Eskaton 27,Thighpaulsandra,The Michel Publicity Window E.P.,"CD, 7\ vinyl""",2001
Eskaton 28,Time Machines,Time Machines,"2X12\ vinyl""",2002
Eskaton 29,Coil,The Golden Hare with a Voice of Silver,2XCD,2002
Eskaton 30,Black Sun Productions,Plastic Spider Thing,CD,2002
Eskaton 31,,(unreleased),,
Eskaton 32,Mount Vernon Astral Temple,Musick That Destroys Itself,CD,2003
Eskaton 32x,Mount Vernon Astral Temple,(untitled),CD,2003
Eskaton 033,CoH,Love Uncut,CD,2000
Eskaton 34,Coil,ANS,CD-R,2003
Eskaton 077,CoH,Above Air,CD,7 March 2006
