Catalogue number,Artist,Release title,Format,Release date,Filler_1
Eskaton 001,Coil Vs The Eskaton,Nasa Arab,"12\ vinyl""",1994,nbKKRO
Eskaton 002,Coil Vs ELpH,Born Again Pagans,CD,1994,CxHIDvuE
Eskaton 003,ELpH,pHILM #1,"10\ vinyl""",1995,YLHOYBjj
Eskaton 004,,(came with pHILM #1),poster,1995,LrZBYP
Eskaton 005,,(chaosphere badge),badge,1995,CskDsf
Eskaton 006,ELpH Vs Coil,Worship The Glitch,CD,1996,vAfFsAD
Eskaton 007,ELpH Vs Coil,Worship The Glitch,"10\ vinyl""",1996,cHmipzjL
Eskaton 008,Black Light District,A Thousand Lights in a Darkened Room,CD,1996,TUOcZxf
Eskaton 009,Black Light District,A Thousand Lights in a Darkened Room,"2X12\ vinyl""",1996,pCDVLLp
Eskaton 010,Time Machines,Time Machines,CD,1998,jMSnspsC
Eskaton 11,Coil,Spring Equinox: Moon's Milk or Under an Unquiet Skull,CD,1998,SUCvgHaq
Eskaton 12,Coil,Spring Equinox: Moon's Milk or Under an Unquiet Skull,"7\ vinyl""",1998,LWRXnU
Eskaton 13,Coil,Summer Solstice: Bee Stings,"7\ vinyl""",1998,YazPSK
