Species,Common Name,NCBI Accession #,NCBI Name,Length,Sequence Identity,Sequence Similarity,Years Since Divergence from Human (mya),Extra_Data_1,Filler_2
Danio rerio,Zebra fish,XP_691450,DEPDC5-like,1590 aa,75%,84%,400.1,683,DpIxwn
Oreochromis niloticus,Cichlid,XP_003459226,DEPDC5,1577 aa,74%,82%,400.1,672,TOoZFNT
Strongylocentrotus purpuratus,Sea urchin,XP_794020,similar to DEPDC5,1608 aa,43%,57%,742.9,785,qgHOs
Drosophila melanogaster,Drosophila,NP_647618,GC12090,1471 aa,41%,57%,782.7,928,vdtHWFkQ
Pediculus humanus corporis,Louse,XP_002429401,"DEPDC, putative",1538 aa,38%,53%,782.7,770,CnTqnM
Anopheles gambiae,Mosquito,XP_308760,AGAP007010-PA,1640 aa,36%,51%,782.7,697,gcReIE
Ascaris suum,Ascaris,ADY40551,DEPDCp5,1359 aa,31%,51%,937.5,277,uzRQFCi
Ustilago maydis,Corn smut,XP_757759,vacuolar-associated protein Iml1,1867 aa,23%,52%,1215.8,257,GscSxFA
Saccharomyces cerevisiae,Yeast,NP_012672,Iml1p,1584 aa,20%,50%,1215.8,84,izQZs
Albugo laibachii,White rust,CCA27519,vacuolar membrane-associated protein putative,1591 aa,20%,46%,1362,308,AYusFFd
