Season,Pitcher,Decision,Finalscore,Opponent,Location,Irrelevant_1,Unused_2,Random_Column_3
1984,Joe Niekro (3),L,2–4,Montreal Expos,Astrodome,31jTNFkj,,GCMeeP
1985,Nolan Ryan (2),W,2–1,Los Angeles Dodgers,Astrodome,cHVbrN1,,Jdk0Ey
1986*,Nolan Ryan (3),L,3–8,San Francisco Giants,Astrodome,P921SFp8,,PBV7xdmf
1987,Mike Scott,W,4–3,Los Angeles Dodgers,Astrodome,pt7WD9Dk,,vh2SqlJ7
1988,Mike Scott (2),W,6–3,San Diego Padres,Astrodome,gzfadLC,,BSFSrjt
1989,Mike Scott (3),W,10–3,Atlanta Braves,Astrodome,4Qs2S,,sJvCAbv
1990,Mike Scott (4),ND (L),4–8,Cincinnati Reds,Astrodome,2MXhWDe,,qYdWPR
1991,Mike Scott (5),L,2–6,Cincinnati Reds,Riverfront Stadium,PqOzQ,,u0u0drT
1992,Pete Harnisch,L,0–2,Atlanta Braves,Astrodome,Cak69ZLI,,R3TxQKb
1993,Doug Drabek,L,1–3,Philadelphia Phillies,Astrodome,qP3SQwm,,49Zjs
