Season,Pitcher,Decision,Finalscore,Opponent,Location,Irrelevant_1
2004*,Roy Oswalt (2),ND (L),4–5,San Francisco Giants,Minute Maid Park,9wAnrY
2005**,Roy Oswalt (3),L,3–7,St. Louis Cardinals,Minute Maid Park,zwrHk
2006,Roy Oswalt (4),W,1–0,Florida Marlins,Minute Maid Park,s5PZWo
2007,Roy Oswalt (5),ND (L),2–4,Pittsburgh Pirates,Minute Maid Park,kRfCNVZ
2008,Roy Oswalt (6),L,0–4,San Diego Padres,Petco Park,a6G0yIt
2009,Roy Oswalt (7),L,2–4,Chicago Cubs,Minute Maid Park,4fWWW
2010,Roy Oswalt (8),L,2–5,San Francisco Giants,Minute Maid Park,lgQkE5
2011,Brett Myers,ND (L),4–5,Philadelphia Phillies,Citizens Bank Park,cGe2qJt
2012,Wandy Rodriguez,ND (L),4–5,Colorado Rockies,Minute Maid Park,ecYM6n
2013,Bud Norris,W,8–2,Texas Rangers,Minute Maid Park,l4PhIm
