Season,Pitcher,Decision,Finalscore,Opponent,Location
1994,Pete Harnisch (2),ND (W),6–5,Montreal Expos,Astrodome
1995,Doug Drabek (2),W,10–2,San Diego Padres,Jack Murphy Stadium
1996,Shane Reynolds,L,3–4,Los Angeles Dodgers,Astrodome
1997*,Shane Reynolds (2),W,2–1,Atlanta Braves,Astrodome
1998*,Shane Reynolds (3),ND (L),4–9,San Francisco Giants,Astrodome
1999*,Shane Reynolds (4),W,4–2,Chicago Cubs,Astrodome
2000,Shane Reynolds (5),W,5–2,Pittsburgh Pirates,Three Rivers Stadium
2001*,Scott Elarton,W,11–3,Milwaukee Brewers,Enron Field
2002,Wade Miller,L,3–9,Milwaukee Brewers,Astros Field
2003,Roy Oswalt,W,10–4,Colorado Rockies,Minute Maid Park
