Season,Pitcher,Decision,Finalscore,Opponent,Location
1962,Bobby Shantz,W,11–2,Chicago Cubs,Colt Stadium
1963,Turk Farrell,L,2–9,San Francisco Giants,Colt Stadium
1964,Ken Johnson,W,6–3,Cincinnati Reds,Crosley Field
1965,Bob Bruce,L,0–2,Philadelphia Phillies,Astrodome
1966,Robin Roberts,L,2–3,Los Angeles Dodgers,Dodger Stadium
1967,Mike Cuellar,W,6–1,Atlanta Braves,Astrodome
1968,Larry Dierker,W,5–4,Pittsburgh Pirates,Astrodome
1969,Don Wilson,L,1–2,San Diego Padres,San Diego Stadium
1970,Larry Dierker (2),W,8–5,San Francisco Giants,Candlestick Park
1971,Larry Dierker (3),W,5–2,Los Angeles Dodgers,Astrodome
1972,Don Wilson (2),L,0–5,San Francisco Giants,Astrodome
