Constituency,Region,Name,Party,Last elected
6,Valparaíso,Ricardo L. Weber,PPD,2009
6,Valparaíso,Francisco Chahuan,RN,2009
7,Santiago,"Guido Girardi Lavín(President, March 15, 2011–March 20, 2012)",PPD,2005
7,Santiago,"Jovino Novoa Vásquez(President, March 13, 2009–March 11, 2010)",UDI,2005
8,Santiago,Ena von Baer,UDI,2005
8,Santiago,Soledad Alvear Valenzuela,PDC,2005
9,O'Higgins,Alejandro García-Huidobro,UDI,2005
9,O'Higgins,"Juan Pablo Letelier Morel(Vice-President, March 15, 2011–March 20, 2012)",PS,2005
10,Maule,Ximena Rincón,PDC,2009
10,Maule,Juan Antonio Coloma Correa,UDI,2009
