Constituency,Region,Name,Party,Last elected,Irrelevant_1
1,Arica and ParinacotaTarapacá,Fulvio Rossi,PS,2009,yhwCd
1,Arica and ParinacotaTarapacá,Jaime Orpis Bouchon,UDI,2009,QS5zp
2,Antofagasta,Carlos Cantero Ojeda,Ind.,2005,8c6Cuyj
2,Antofagasta,"José Antonio Gómez Urrutia(Vice-President, March 11, 2010–March 15, 2011; March 20, 2013-present)",PRSD,2005,FSNfF0
3,Atacama,Isabel Allende,PS,2009,xufWc
3,Atacama,"Baldo Prokurica Prokurica(Vice-President, March 12, 2008-March 13, 2009)",RN,2009,NVE7Kfe
4,Coquimbo,Gonzalo Uriarte,UDI,2005,CkDIs
4,Coquimbo,"Jorge Pizarro Soto(President, March 11, 2010–March 15, 2011; March 20, 2013-present)",PDC,2005,pqeeY
5,Valparaíso,Ignacio Walker,PDC,2009,UXM9so
5,Valparaíso,Lily Pérez,RN,2009,EGBZKj
6,Valparaíso,Ricardo L. Weber,PPD,2009,9wS8nWv
6,Valparaíso,Francisco Chahuan,RN,2009,Mjp7E
7,Santiago,"Guido Girardi Lavín(President, March 15, 2011–March 20, 2012)",PPD,2005,dmLZ85
