Country,"GDP (USD bln, 2012)","GDP (USD bln, 2017)","GDP (USD PPP bln, 2012)","GDP (USD PPP bln, 2017)","Per capita (USD, 2012)","Per capita (USD, 2017)","Per capita (USD PPP, 2012)","Per capita (USD PPP, 2017)"
Afghanistan,19.85,28.45,31.80,45.30,619.89,766.43,993.23,"1,220.52"
Albania,12.39,14.75,25.86,31.55,"3,821.09","4,435.73","7,975.86","9,489.11"
Algeria,206.55,242.31,274.50,356.26,"5,659.74","6,163.52","7,521.74","9,061.86"
Azerbaijan,71.04,109.95,98.24,123.35,"7,726.65","11,491.29","10,684.95","12,891.89"
Bahrain,26.51,30.36,32.44,40.37,"23,027.12","23,889.03","28,182.13","31,765.11"
Bangladesh,118.69,177.66,305.51,462.42,791.09,"1,122.90","2,036.23","2,922.78"
Benin,7.54,11.14,15.51,20.74,806.38,"1,048.35","1,658.02","1,952.09"
Brunei Darussalam,16.85,18.15,21.94,28.31,"38,801.27","37,516.64","50,526.35","58,522.83"
Burkina Faso,10.27,15.28,24.03,36.52,591.83,785.64,"1,384.18","1,877.68"
Cameroon,24.51,34.16,50.32,70.79,"1,142.25","1,407.23","2,345.29","2,915.94"
Chad,9.72,10.96,21.34,27.02,905.32,899.03,"1,986.44","2,217.06"
