Country,"GDP (USD bln, 2012)","GDP (USD bln, 2017)","GDP (USD PPP bln, 2012)","GDP (USD PPP bln, 2017)","Per capita (USD, 2012)","Per capita (USD, 2017)","Per capita (USD PPP, 2012)","Per capita (USD PPP, 2017)",Random_Column_1,Noise_Field_2
Comoros,0.60,0.83,0.87,1.15,857.75,"1,079.12","1,255.98","1,488.46",hcL59,HrZHjn
Côte d'Ivoire,24.27,37.03,39.64,61.66,"1,038.74","1,366.89","1,696.15","2,276.02",7b5UFj,lFdUVI
Djibouti,1.36,2.00,2.38,3.36,"1,570.59","2,039.31","2,745.19","3,431.50",Y2POTS,acEtTo
Egypt,255.00,339.33,537.76,756.42,"3,109.47","3,729.36","6,557.38","8,313.47",iqWUK3VZ,IWFPjo
Gabon,16.80,18.00,26.71,32.68,"10,908.38","10,881.51","17,338.98","19,762.74",aEPfbp,qICWYYa
The Gambia,0.94,1.39,3.50,5.38,508.68,657.09,"1,891.76","2,548.81",6px7CDO,RvPxhh
Guinea,5.74,10.66,12.25,24.14,529.20,868.20,"1,128.63","1,965.65",T0j06jM,ZPMxt
Guinea-Bissau,0.88,1.29,1.90,2.79,514.14,671.22,"1,105.55","1,453.15",iNI2xQT1,SmRZEr
Guyana,2.79,3.98,6.16,8.49,"3,596.44","5,053.25","7,950.28","10,788.87",NIDy9mW,AtXJjN
Indonesia,894.85,"1,842.78","1,211.96","1,814.58","3,660.42","7,022.67","4,957.55","6,915.24",FhqVp,vrRWOP
Iran,483.78,671.01,"1,006.54","1,173.48","6,355.74","8,269.55","13,103.90","14,462.05",IrJqeDz,njQWGgB
