Country,"GDP (USD bln, 2012)","GDP (USD bln, 2017)","GDP (USD PPP bln, 2012)","GDP (USD PPP bln, 2017)","Per capita (USD, 2012)","Per capita (USD, 2017)","Per capita (USD PPP, 2012)","Per capita (USD PPP, 2017)"
Suriname,5.09,8.06,6.69,9.19,"9,338.99","13,821.78","12,255.19","15,755.24"
Syria,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Tajikistan,7.26,10.91,17.61,25.60,911.98,"1,235.12","2,210.56","2,897.11"
Togo,3.62,4.67,6.90,9.75,574.95,664.32,"1,094.46","1,385.73"
Tunisia,44.70,54.84,104.41,143.65,"4,151.92","4,835.23","9,698.13","12,665.06"
Turkey,783.06,"1,170.08","1,125.42","1,497.09","10,456.89","14,748.21","15,028.63","18,870.00"
Turkmenistan,33.47,83.42,47.55,75.38,"5,960.67","13,724.21","8,469.10","12,401.85"
Uganda,20.46,29.89,50.59,75.86,574.07,712.81,"1,419.17","1,809.06"
United Arab Emirates,361.91,430.53,271.21,345.14,"65,377.09","67,348.58","48,992.47","53,990.11"
Uzbekistan,51.62,79.73,103.91,151.81,"1,752.90","2,550.49","3,528.60","4,856.52"
Yemen,36.37,53.00,57.76,78.18,"1,405.13","1,768.01","2,231.69","2,608.10"
