Country,"GDP (USD bln, 2012)","GDP (USD bln, 2017)","GDP (USD PPP bln, 2012)","GDP (USD PPP bln, 2017)","Per capita (USD, 2012)","Per capita (USD, 2017)","Per capita (USD PPP, 2012)","Per capita (USD PPP, 2017)"
Iraq,130.57,214.36,155.38,283.34,"3,882.08","5,744.21","4,619.68","7,592.46"
Jordan,31.35,46.33,38.67,51.61,"4,901.28","6,464.77","6,044.40","7,201.71"
Kazakhstan,200.64,339.57,232.35,339.77,"12,021.22","20,243.27","13,920.87","20,255.29"
Kuwait,174.63,193.10,165.94,212.73,"46,142.29","44,467.96","43,846.72","48,990.11"
Kyrgyz Republic,6.20,9.58,13.47,19.45,"1,109.09","1,632.03","2,411.04","3,311.42"
Lebanon,41.77,56.25,63.69,82.99,"10,416.17","13,149.68","15,884.07","19,401.42"
Libya,85.11,117.76,87.91,145.08,"12,878.85","16,141.08","13,303.20","19,886.33"
Malaysia,307.18,465.14,491.97,680.30,"10,578.45","14,723.61","16,942.14","21,534.22"
Maldives,1.98,2.69,2.89,3.67,"5,976.79","7,473.76","8,730.17","10,217.39"
Mali,9.60,13.39,17.35,24.27,587.49,702.87,"1,061.75","1,273.87"
Mauritania,4.10,5.64,7.62,10.97,"1,128.91","1,380.28","2,098.81","2,686.63"
