Year,Tournament,Surface,Round,Winner,Score,Irrelevant_1,Irrelevant_2
1980,Memphis,Carpet,F,John McEnroe,"7–6, 7–6",CnJCJWV,PtqRWq7l
1980,Philadelphia,Carpet,F,Jimmy Connors,"6–3, 2–6, 6–3, 3–6, 6–4",Yjd5dxp,1coU1
1979,US Open,Hard,S,John McEnroe,"6–3, 6–3, 7–5",r3mCeG,PIv9SKi
1979,Dallas WCT,Carpet,S,John McEnroe,"6–1, 6–4, 6–4",XnfzKjPf,0HntiU1Y
1979,Las Vegas,Hard,S,Jimmy Connors,"7–5, 6–4",TjjCwODs,p5LwEnf
1979,Pepsi Grand Slam,Clay,S,Jimmy Connors,"6–3, 6–4",e29VLk,OZzki
1978,Masters,Carpet,RR,John McEnroe,"7–5, 3–0 RET",US74R,ZSwoT
1978,US Open,Hard,S,Jimmy Connors,"6–2, 6–2, 7–5",4f50LV4,LWVmCY
1978,Indianapolis,Clay,Q,Jimmy Connors,"3–6, 6–1, 6–1",khemB,RXRM9
1977,Boston,Clay,R32,Jimmy Connors,"5–7, 6–2, 7–5",E5G6g,LgXOKt
1977,Wimbledon,Grass,S,Jimmy Connors,"6–3, 6–3, 4–6, 6–4",J3Kbj,Iwpm7H
