Year,Tournament,Surface,Round,Winner,Score,Unused_1,Filler_2
1983,Wembley,Carpet,F,John McEnroe,"7–5, 6–1, 6–4",,iRXmq
1983,Cincinnati,Hard,S,John McEnroe,"6–7, 6–1, 6–4",,TNQMjhyu
1983,"London, Queen's Club",Grass,F,Jimmy Connors,"6–3, 6–3",,ZTMCYFGF
1982,San Francisco,Carpet,F,John McEnroe,"6–1, 6–3",,pSVSm
1982,Wimbledon,Grass,F,Jimmy Connors,"3–6, 6–3, 6–7, 7–6, 6–4",,vpqepIC
1982,"London, Queen's Club",Grass,F,Jimmy Connors,"7–5, 6–3",,KhZGA
1982,Philadelphia,Carpet,F,John McEnroe,"6–3, 6–3, 6–1",,xAsCmdA
1981,New York City,Carpet,RR,John McEnroe,"6–2, 7–5",,MDCtmz
1981,Wembley,Carpet,F,Jimmy Connors,"3–6, 2–6, 6–3, 6–4, 6–2",,XHqgLz
1980,US Open,Hard,S,John McEnroe,"6–4, 5–7, 0–6, 6–3, 7–6",,DBARl
1980,Wimbledon,Grass,S,John McEnroe,"6–3, 3–6, 6–3, 6–4",,Fpthw
1980,Dallas WCT,Carpet,F,Jimmy Connors,"2–6, 7–6, 6–1, 6–2",,XLLlQpBZ
