Year,Tournament,Surface,Round,Winner,Score
1991,Basel,Hard,S,John McEnroe,"6–1, 6–3"
1989,Toulouse,Hard,F,Jimmy Connors,"6–3, 6–3"
1987,Montreal / Toronto,Hard,Q,Jimmy Connors,"6–3, 3–6, 6–3"
1986,San Francisco,Carpet,F,John McEnroe,"7–6, 6–3"
1985,Montreal / Toronto,Hard,S,John McEnroe,"6–2, 6–3"
1985,Chicago,Carpet,F,John McEnroe,W/O
1984,US Open,Hard,S,John McEnroe,"6–4, 4–6, 7–5, 4–6, 6–3"
1984,Montreal / Toronto,Hard,S,John McEnroe,"2–6, 6–2, 6–3"
1984,Wimbledon,Grass,F,John McEnroe,"6–1, 6–1, 6–2"
1984,"London, Queen's Club",Grass,S,John McEnroe,"6–2, 6–2"
1984,Roland Garros,Clay,S,John McEnroe,"7–5, 6–1, 6–2"
1984,Dallas WCT,Carpet,F,John McEnroe,"6–1, 6–2, 6–3"
