Season,Champion,Runner-up,Score,Third place,Filler_1,Extra_Data_2,Noise_Field_3
1995–96,Śląsk Eska Wrocław,Browary Tyskie Bobry Bytom,4–2,Polonia Przemyśl,Nnjze,177,LdEEbZqC
1996–97,Mazowszanka PEKAES Pruszków,Spójnia Stargard Szczeciński,4–0,Browary Tyskie Bobry Bytom,BGjNwF,8,yTepamX
1997–98,Zepter Śląsk Wrocław,PEKAES Pruszków,4–3,Ericsson Bobry Bytom,cchkBwKC,740,pMQpOX
1998–99,Zepter Śląsk Wrocław,Anwil Nobiles Włocławek,4–3,Ericsson Bobry Bytom,aDpNJW,389,xwbswkB
1999–00,Zepter Śląsk Wrocław,Anwil Włocławek,4–1,Hoop-Pekaes Pruszków,WXfkGn,722,rYtDA
2000–01,Zepter Śląsk Wrocław,Anwil Włocławek,4–1,Prokom Trefl Sopot,BCAYZy,511,RpTNjfOm
2001–02,Idea Śląsk Wrocław,Prokom Trefl Sopot,4–1,Stal Ostrów Wielkopolski,pJUpelFC,289,vKvPVX
2002–03,Anwil Włocławek,Prokom Trefl Sopot,4–2,Idea Śląsk Wrocław,MPpEIquJ,764,YGWgJ
2003–04,Prokom Trefl Sopot,Idea Śląsk Wrocław,4–1,Polonia Warszawa,kUTWorXQ,653,wPmSxLQp
2004–05,Prokom Trefl Sopot,Anwil Włocławek,4–2,Polonia Warszawa,zsDfdUTj,56,MGrGvkU
