Year,Winner,Runner-Up,Final score,Third,Noise_Field_1,Filler_2,Dummy_Col_3
1992,Budivelnyk,NKI Mykolaiv,Round-robin,Spartak Lugansk,MSZggHp,oCzZH,yTWtGBWM
1993,Budivelnyk,SKA Kyiv,Round-robin,NKI Mykolaiv,xaaRA,PQmwdYqA,FLKyz
1994,Budivelnyk,Kyiv-Basket,3–0,Bipa-Moda Odesa,yXYpum,paUcp,YJhcGrm
1995,Budivelnyk,Kyiv-Basket,3–0,Shakhtar-ASKO Donetsk,rXuabJQz,LcHLWGP,GoMPgHY
1996,Budivelnyk,Shakhtar Donetsk,Round-robin,Kyiv-Basket,ssTzCDrx,QaIQhaJi,DJMlDBP
1997,Budivelnyk,BIPA-Moda Odesa,3–2,Kyiv-Basket,jwrVjPy,rCwwOTkV,dNCeBr
1998,BIPA-Moda Odesa,Budivelnyk,3–0,SC Mykolaiv,skfFL,yIzelkWW,kBpQH
1999,BIPA-Moda Odesa,CSKA-RIKO Kyiv,3–2,Budivelnyk,nVLje,eqDmeSf,cRFKYrb
2000,Kyiv,MBC Odesa,3–2,CSKA-Ukrtatnafta Kyiv,CWXSk,GVJmG,zeeKj
2001,MBC Odesa,Kyiv,3–2,Azovmash,suIHU,cHETVxFT,hHnbeBR
2002,MBC Odesa,Kyiv,3–2,Azovmash,WuEmmbiI,JDPfuJXc,CLaGM
