Date,Opponent,Venue,Result,Scorers,Extra_Data_1
"July 11, 1979",Philadelphia Fury,H,4–4*,"Armstrong, Etterich, Gersdorff, Wood",296
"July 14, 1979",Los Angeles Aztecs,A,0–0*,,683
"July 18, 1979",Houston Hurricane,H,1–2,Gersdorff,396
"July 21, 1979",Tulsa Roughnecks,H,3–2,"Armstrong (2), Wood",374
"July 25, 1979",Chicago Sting,A,3–2,"Gersdorff (2), Child",498
"July 29, 1979",New York Cosmos,A,0–5,,102
"August 1, 1979",California Surf,H,0–2,,520
"August 4, 1979",California Surf,A,1–4,Wood,855
"August 8, 1979",Vancouver Whitecaps,A,0–1,,79
"August 11, 1979",San Diego Sockers,H,0–6,,394
