Date,Opponent,Venue,Result,Scorers,Random_Column_1
"March 31, 1979",Portland Timbers,H,3–4,"Gersdorff, Child, Cohen",YOjl3
"April 14, 1979",Edmonton Drillers,H,0–1,,uvNJev
"April 21, 1979",San Diego Sockers,A,3–3*,"Child (2), Ryan",KPOkYbg
"April 28, 1979",Los Angeles Aztecs,H,1–2,Child,QVWhi
"May 5, 1979",Vancouver Whitecaps,H,1–2,Gersdorff,DPZiWRy
"May 9, 1979",Detroit Express,A,0–3,,ZeUCxzQ
"May 12, 1979",Seattle Sounders,A,1–2,Gersdorff,9ijnrPb
"May 19, 1979",Seattle Sounders,H,0–1,,IIiW4CL
"May 26, 1979",Edmonton Drillers,A,2–1,"Child, Lawson",BOhLI
"June 2, 1979",Memphis Rogues,H,2–1,"Etterich, Flindt",jZovB63E
