Date,Opponent,Venue,Result,Scorers
"June 6, 1979",Minnesota Kicks,A,1–4,Gersdorff
"June 9, 1979",Toronto Blizzard,H,2–3,"Child, Gersdorff"
"June 13, 1979",Tampa Bay Rowdies,A,2–2*,"Child, Versen"
"June 16, 1979",Fort Lauderdale Strikers,A,1–3,Armstrong
"June 20, 1979",Portland Timbers,A,2–1,"Etterich, Ryan"
"June 23, 1979",Chicago Sting,H,4–2,"Etterich, Bick, Webers, Gersdorff"
"June 27, 1979",New England Tea Men,H,0–1,
"June 30, 1979",Philadelphia Fury,A,1–2,Wood
"July 4, 1979",Houston Hurricane,A,0–4,
"July 7, 1979",Fort Lauderdale Strikers,H,1–2,Flindt
