id,split,db_id,union_count,has_join,tables_used,question,sql
1,train,student_assessment,1,0,"Student_Course_Registrations, Student_Course_Attendance",What are the id of students who registered courses or attended courses?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance
2,train,student_assessment,1,0,"Student_Course_Registrations, Student_Course_Attendance",What are the ids of the students who either registered or attended a course?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance
3,train,student_assessment,1,0,"Student_Course_Registrations, Student_Course_Attendance",Find the id of courses which are registered or attended by student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121
4,train,student_assessment,1,0,"Student_Course_Registrations, Student_Course_Attendance",What are the ids of the courses that are registered or attended by the student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121
5,train,bike_1,1,1,"station, status",What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%"""
6,train,bike_1,1,1,"station, status",What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%"""
7,train,college_2,1,0,section,Find courses that ran in Fall 2009 or in Spring 2010.,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 UNION SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010
8,train,college_2,1,0,section,What are the ids for courses in the Fall of 2009 or the Spring of 2010?,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 UNION SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010
9,train,insurance_and_eClaims,1,0,"Customers, Staff",Find the names of all the customers and staff members.,SELECT customer_details FROM customers UNION SELECT staff_details FROM staff
10,train,insurance_and_eClaims,1,0,"Customers, Staff",What are the names of the customers and staff members?,SELECT customer_details FROM customers UNION SELECT staff_details FROM staff
11,train,formula_1,1,1,"drivers, results, pitStops","What are the drivers' first, last names and id who had more than 8 pit stops or participated in more than 5 race results?","SELECT T1.forename ,  T1.surname ,  T1.driverid FROM drivers AS T1 JOIN pitstops AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  >  8 UNION SELECT T1.forename ,  T1.surname ,  T1.driverid FROM drivers AS T1 JOIN results AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  >  5"
12,train,formula_1,1,1,"drivers, results, pitStops","What are the drivers' first names,last names, and ids for all those that had more than 8 stops or participated in more than 5 races?","SELECT T1.forename ,  T1.surname ,  T1.driverid FROM drivers AS T1 JOIN pitstops AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  >  8 UNION SELECT T1.forename ,  T1.surname ,  T1.driverid FROM drivers AS T1 JOIN results AS T2 ON T1.driverid  =  T2.driverid GROUP BY T1.driverid HAVING count(*)  >  5"
13,train,csu_1,1,0,Campuses,"Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco.","SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco"""
14,train,csu_1,1,0,Campuses,"What campuses are located in Northridge, Los Angeles or in San Francisco, San Francisco?","SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco"""
15,train,movie_1,1,0,"Movie, Reviewer",Return all reviewer names and movie names together in a single list.,SELECT name FROM Reviewer UNION SELECT title FROM Movie
16,train,movie_1,1,0,"Movie, Reviewer",What are the names of all the reviewers and movie names?,SELECT name FROM Reviewer UNION SELECT title FROM Movie
17,train,sakila_1,1,1,"payment, staff",Find all the payment dates for the payments with an amount larger than 10 and the payments handled by a staff person with the first name Elsa.,SELECT payment_date FROM payment WHERE amount  >  10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.first_name  =  'Elsa'
18,train,sakila_1,1,1,"payment, staff",What are the payment dates for any payments that have an amount greater than 10 or were handled by a staff member with the first name Elsa?,SELECT payment_date FROM payment WHERE amount  >  10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.first_name  =  'Elsa'
19,train,assets_maintenance,1,1,"Third_Party_Companies, Maintenance_Contracts, Maintenance_Engineers",Which third party companies have at least 2 maintenance engineers or have at least 2 maintenance contracts? List the company id and name.,"SELECT T1.company_id ,  T1.company_name FROM Third_Party_Companies AS T1 JOIN Maintenance_Engineers AS T2 ON T1.company_id  =  T2.company_id GROUP BY T1.company_id HAVING count(*)  >=  2 UNION SELECT T3.company_id ,  T3.company_name FROM Third_Party_Companies AS T3 JOIN Maintenance_Contracts AS T4 ON T3.company_id  =  T4.maintenance_contract_company_id GROUP BY T3.company_id HAVING count(*)  >=  2"
20,train,music_1,1,0,"files, song",What are the ids of songs that are available in either mp4 format or have resolution above 720?,"SELECT f_id FROM files WHERE formats  =  ""mp4"" UNION SELECT f_id FROM song WHERE resolution  >  720"
21,train,music_1,1,0,"files, song",What are the ids of all songs that are available on mp4 or have a higher resolution than 720?,"SELECT f_id FROM files WHERE formats  =  ""mp4"" UNION SELECT f_id FROM song WHERE resolution  >  720"
22,train,music_1,1,1,"files, song",List the names of all songs that have 4 minute duration or are in English.,"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""4:%"" UNION SELECT song_name FROM song WHERE languages  =  ""english"""
23,train,music_1,1,1,"files, song",What are the names of all songs that are approximately 4 minutes long or are in English?,"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.duration LIKE ""4:%"" UNION SELECT song_name FROM song WHERE languages  =  ""english"""
24,train,baseball_1,1,0,salary,What were all the salary values of players in 2010 and 2001?,SELECT salary FROM salary WHERE YEAR  =  2010 UNION SELECT salary FROM salary WHERE YEAR  =  2001
25,train,baseball_1,1,0,salary,List all the salary values players received in 2010 and 2001.,SELECT salary FROM salary WHERE YEAR  =  2010 UNION SELECT salary FROM salary WHERE YEAR  =  2001
26,train,insurance_policies,1,1,"Claims, Settlements",Which claims caused more than 2 settlements or have the maximum claim value? List the date the claim was made and the claim id.,"SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id GROUP BY T1.Claim_id HAVING count(*)  >  2 UNION SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id WHERE T1.Amount_Claimed  =  ( SELECT max(Amount_Claimed) FROM Claims )"
27,train,insurance_policies,1,1,"Claims, Settlements","Find the claims that led to more than two settlements or have the maximum claim value. For each of them, return the date the claim was made and the id of the claim.","SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id GROUP BY T1.Claim_id HAVING count(*)  >  2 UNION SELECT T1.Date_Claim_Made ,  T1.Claim_id FROM Claims AS T1 JOIN Settlements AS T2 ON T1.Claim_id  =  T2.Claim_id WHERE T1.Amount_Claimed  =  ( SELECT max(Amount_Claimed) FROM Claims )"
28,train,hospital_1,1,1,"Physician, Procedures, Trained_In",Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
29,train,hospital_1,1,1,"Physician, Procedures, Trained_In",What are the procedures that cost more than 1000 or are specialized in by physician John Wen?,"SELECT name FROM procedures WHERE cost  >  1000 UNION SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen"""
