State,Title,Name,Entered office
Dominican Republic,President of Assembly,Pedro Váldez ?,1966 ?
Ecuador,President of the Senate,?,?
Ecuador,President of the Chamber of Deputies,?,?
El Salvador,President of the Legislative Assembly,Dr. Benjamin Iteriano ?,1970 ?
Guatemala,President of the Congress,Mario Sandoval Alarcón,1970
Guyana,Speaker of the Legislative Assembly,Hon. Rahman Bacchus Gajraj,1968
Haiti,President of the National Assembly,Ulrick St. Louis ?,?
Honduras,President of the National Congress,Lic. Mario Rivera López,1965
Jamaica,President of the Senate,G. S. Ranglin,"December 7, 1962"
Jamaica,Speaker of the House of Representatives,Eugene Parkinson,1967
Mexico,President of the Senate,Lic. Manuel Aguirre[disambiguation needed] ?,1967 ?
Mexico,President of the Federal Chamber of Deputies,Lic. Luis Farias ?,1967 ?
Nicaragua,President of the Senate,Dr. Adrían Cuadra Gutiérrez ?,
