State,Title,Name,Entered office,Random_Column_1,Unused_2,Extra_Data_3
Nicaragua,President of the Chamber of Deputies,Dr. Orlando Montenegro ?,,cxesoxC,,630
Paraguay,President of the Council of State,Dr. Juan Ramón Chavez ?,1967 ?,wy6QH,,249
Trinidad and Tobago,President of the Senate,J. Hamilton Maurice,"December 29, 1961",zV53tY0P,,359
Trinidad and Tobago,Speaker of the House of Representatives,A. C. Thomasos,"December 29, 1961",NJwQoQGu,,171
USA,President of the Senate (The Vice President of the United States of America),Spiro Agnew,"January 20, 1969",GehEW,,331
USA,President pro tempore of the Senate,Richard B. Russell,"January 2, 1969",PttZU8,,529
USA,Speaker of the House of Representatives,John William McCormack,"January 10, 1962",FX8K1mK,,560
Puerto Rico,President of the Senate,Rafael Hernández Colón,1969,TURHUp,,827
Puerto Rico,Speaker of the House of Representatives,Angel Viera Martínez,"January 13, 1969",56F639zm,,991
Uruguay,President of the Senate (The Vice President of Uruguay),Dr. Alberto Abdala,"December 6, 1967",sX1Qb,,848
Uruguay,President of the Chamber of Deputies,Fernando Elichirigoity,"March 1, 1970",ZosXpuuu,,18
Venezuela,President of the Senate,Dr. José A. Pérez Díaz ?,1968 ?,NOM4F,,996
Venezuela,President of the Chamber of Deputies,Prof. Jorge Dargen ?,1968 ?,UJb81F,,585
