State,Title,Name,Entered office,Dummy_Col_1,Irrelevant_2
Barbados,President of the Senate,Sir Stanley Robinson,1966,pHFwr,KBTa9Sp
Barbados,Speaker of the House of Assembly,Sir Theodore Brancker,1961,CYEif,u96wT
Bolivia,President of the Senate,?,1970,RdwNzX,jIEorQh
Bolivia,President of the Chamber of Deputies,?,1970,LmrFsFX,YWfvm6F
Brazil,President of the Senate,João Cleofas de Oliveira,1970,bATIpZi,MpnPqpWy
Brazil,President of the Chamber of Deputies,Geraldo Freire da Silva,1970,IALQA,p2vzpH4
Canada,Speaker of the Senate,Hon. Jean-Paul Deschatelets,"September 5, 1968",SlnVDEe,S0OW9
Canada,Speaker of the House of Commons,Hon. Lucien Lamoureux,"January 18, 1966",PZGxxS,UqfFsB
Chile,President of the Senate,Tomás Pablo Elorza,1969,KCCsSKH,iv3Pzior
Chile,President of the Chamber of Deputies,Fernando Humberto Andrés Sanhueza Herbarge,"July 20, 1970",BSwCtq,M6L1t
Colombia,President of the Senate,Eduardo Abuchaibe Ramírez,1970,OJdjaez,b8VEPGbu
Colombia,President of the Chamber of Representatives,?,?,yonuEUVi,R7ck8f6
Costa Rica,President of the Congress,Daniel Oduber Quirós,1970,OUdGpJM,OufYmbs
